dex,pokemon_id,pokemon,base_attack,base_defense,base_stamina,types,fast_moves,charged_moves,elite_moves,legacy_moves,buddy_distance,third_move_cost,released,family_id,evolutions,parent,tags
6,charizard_mega_x,Charizard (Mega X),273,213,186,"['fire', 'dragon']","['AIR_SLASH', 'EMBER', 'FIRE_SPIN', 'WING_ATTACK', 'DRAGON_BREATH']","['BLAST_BURN', 'DRAGON_CLAW', 'FIRE_BLAST', 'FLAMETHROWER', 'OVERHEAT']","['EMBER', 'WING_ATTACK', 'BLAST_BURN', 'FLAMETHROWER', 'DRAGON_BREATH']",nan,3.0,10000,True,FAMILY_CHARMANDER,nan,charmeleon,"['starter', 'shadoweligible', 'mega']"
6,charizard_mega_y,Charizard (Mega Y),319,212,186,"['fire', 'flying']","['AIR_SLASH', 'EMBER', 'FIRE_SPIN', 'WING_ATTACK', 'DRAGON_BREATH']","['BLAST_BURN', 'DRAGON_CLAW', 'FIRE_BLAST', 'FLAMETHROWER', 'OVERHEAT']","['EMBER', 'WING_ATTACK', 'BLAST_BURN', 'FLAMETHROWER', 'DRAGON_BREATH']",nan,3.0,10000,True,FAMILY_CHARMANDER,nan,charmeleon,"['starter', 'shadoweligible', 'mega']"
6,charizard_shadow,Charizard (Shadow),223,173,186,"['fire', 'flying']","['AIR_SLASH', 'EMBER', 'FIRE_SPIN', 'WING_ATTACK', 'DRAGON_BREATH']","['BLAST_BURN', 'DRAGON_CLAW', 'FIRE_BLAST', 'FLAMETHROWER', 'OVERHEAT', 'FRUSTRATION']","['EMBER', 'WING_ATTACK', 'BLAST_BURN', 'FLAMETHROWER', 'DRAGON_BREATH']",nan,3.0,10000,True,FAMILY_CHARMANDER,nan,charmeleon_shadow,"['starter', 'shadow']"
7,squirtle,Squirtle,94,121,127,"['water', 'none']","['BUBBLE', 'TACKLE']","['AQUA_JET', 'AQUA_TAIL', 'WATER_PULSE', 'RETURN']",nan,nan,3.0,10000,True,FAMILY_SQUIRTLE,['wartortle'],,"['starter', 'shadoweligible']"
7,squirtle_shadow,Squirtle (Shadow),94,121,127,"['water', 'none']","['BUBBLE', 'TACKLE']","['AQUA_JET', 'AQUA_TAIL', 'WATER_PULSE', 'FRUSTRATION']",nan,nan,3.0,10000,True,FAMILY_SQUIRTLE,['wartortle_shadow'],,"['starter', 'shadow']"
8,wartortle,Wartortle,126,155,153,"['water', 'none']","['BITE', 'WATER_GUN']","['AQUA_JET', 'HYDRO_PUMP', 'ICE_BEAM', 'RETURN']",nan,nan,3.0,10000,True,FAMILY_SQUIRTLE,['blastoise'],squirtle,"['starter', 'shadoweligible']"
8,wartortle_shadow,Wartortle (Shadow),126,155,153,"['water', 'none']","['BITE', 'WATER_GUN']","['AQUA_JET', 'HYDRO_PUMP', 'ICE_BEAM', 'FRUSTRATION']",nan,nan,3.0,10000,True,FAMILY_SQUIRTLE,['blastoise_shadow'],squirtle_shadow,"['starter', 'shadow']"
9,blastoise,Blastoise,171,207,188,"['water', 'none']","['BITE', 'WATER_GUN']","['FLASH_CANNON', 'HYDRO_CANNON', 'HYDRO_PUMP', 'ICE_BEAM', 'SKULL_BASH', 'RETURN']",['HYDRO_CANNON'],nan,3.0,10000,True,FAMILY_SQUIRTLE,nan,wartortle,"['starter', 'shadoweligible']"
9,blastoise_mega,Blastoise (Mega),264,237,188,"['water', 'none']","['BITE', 'WATER_GUN']","['FLASH_CANNON', 'HYDRO_CANNON', 'HYDRO_PUMP', 'ICE_BEAM', 'SKULL_BASH']",['HYDRO_CANNON'],nan,3.0,10000,True,FAMILY_SQUIRTLE,nan,wartortle,"['starter', 'shadoweligible', 'mega']"
9,blastoise_shadow,Blastoise (Shadow),171,207,188,"['water', 'none']","['BITE', 'WATER_GUN']","['FLASH_CANNON', 'HYDRO_CANNON', 'HYDRO_PUMP', 'ICE_BEAM', 'SKULL_BASH', 'FRUSTRATION']",['HYDRO_CANNON'],nan,3.0,10000,True,FAMILY_SQUIRTLE,nan,wartortle_shadow,"['starter', 'shadow']"
10,caterpie,Caterpie,55,55,128,"['bug', 'none']","['BUG_BITE', 'TACKLE']","['STRUGGLE', 'RETURN']",nan,nan,1.0,10000,True,FAMILY_CATERPIE,['metapod'],,['shadoweligible']
10,caterpie_shadow,Caterpie (Shadow),55,55,128,"['bug', 'none']","['BUG_BITE', 'TACKLE']","['STRUGGLE', 'FRUSTRATION']",nan,nan,1.0,10000,True,FAMILY_CATERPIE,['metapod_shadow'],,['shadow']
11,metapod,Metapod,45,80,137,"['bug', 'none']","['BUG_BITE', 'TACKLE']","['STRUGGLE', 'RETURN']",nan,nan,1.0,10000,True,FAMILY_CATERPIE,['butterfree'],caterpie,['shadoweligible']
11,metapod_shadow,Metapod (Shadow),45,80,137,"['bug', 'none']","['BUG_BITE', 'TACKLE']","['STRUGGLE', 'FRUSTRATION']",nan,nan,1.0,10000,True,FAMILY_CATERPIE,['butterfree_shadow'],caterpie_shadow,['shadow']
12,butterfree,Butterfree,167,137,155,"['bug', 'flying']","['BUG_BITE', 'CONFUSION', 'STRUGGLE_BUG']","['BUG_BUZZ', 'PSYCHIC', 'SIGNAL_BEAM', 'RETURN']",['BUG_BITE'],nan,1.0,10000,True,FAMILY_CATERPIE,nan,metapod,['shadoweligible']
12,butterfree_shadow,Butterfree (Shadow),167,137,155,"['bug', 'flying']","['BUG_BITE', 'CONFUSION', 'STRUGGLE_BUG']","['BUG_BUZZ', 'PSYCHIC', 'SIGNAL_BEAM', 'FRUSTRATION']",['BUG_BITE'],nan,1.0,10000,True,FAMILY_CATERPIE,nan,metapod_shadow,['shadow']
13,weedle,Weedle,63,50,120,"['bug', 'poison']","['BUG_BITE', 'POISON_STING']","['STRUGGLE', 'RETURN']",nan,nan,1.0,10000,True,FAMILY_WEEDLE,['kakuna'],,['shadoweligible']
13,weedle_shadow,Weedle (Shadow),63,50,120,"['bug', 'poison']","['BUG_BITE', 'POISON_STING']","['STRUGGLE', 'FRUSTRATION']",nan,nan,1.0,10000,True,FAMILY_WEEDLE,['kakuna_shadow'],,['shadow']
14,kakuna,Kakuna,46,75,128,"['bug', 'poison']","['BUG_BITE', 'POISON_STING']","['STRUGGLE', 'RETURN']",nan,nan,1.0,10000,True,FAMILY_WEEDLE,['beedrill'],weedle,['shadoweligible']
14,kakuna_shadow,Kakuna (Shadow),46,75,128,"['bug', 'poison']","['BUG_BITE', 'POISON_STING']","['STRUGGLE', 'FRUSTRATION']",nan,nan,1.0,10000,True,FAMILY_WEEDLE,['beedrill_shadow'],weedle_shadow,['shadow']
15,beedrill,Beedrill,169,130,163,"['bug', 'poison']","['BUG_BITE', 'INFESTATION', 'POISON_JAB']","['AERIAL_ACE', 'SLUDGE_BOMB', 'X_SCISSOR', 'FELL_STINGER', 'DRILL_RUN', 'RETURN']","['BUG_BITE', 'DRILL_RUN']",nan,1.0,10000,True,FAMILY_WEEDLE,nan,kakuna,['shadoweligible']
15,beedrill_mega,Beedrill (Mega),303,148,163,"['bug', 'poison']","['BUG_BITE', 'INFESTATION', 'POISON_JAB']","['AERIAL_ACE', 'SLUDGE_BOMB', 'X_SCISSOR', 'FELL_STINGER', 'DRILL_RUN']","['BUG_BITE', 'DRILL_RUN']",nan,1.0,10000,True,FAMILY_WEEDLE,nan,kakuna,"['shadoweligible', 'mega']"
15,beedrill_shadow,Beedrill (Shadow),169,130,163,"['bug', 'poison']","['BUG_BITE', 'INFESTATION', 'POISON_JAB']","['AERIAL_ACE', 'SLUDGE_BOMB', 'X_SCISSOR', 'FELL_STINGER', 'DRILL_RUN', 'FRUSTRATION']","['BUG_BITE', 'DRILL_RUN']",nan,1.0,10000,True,FAMILY_WEEDLE,nan,kakuna_shadow,['shadow']
16,pidgey,Pidgey,85,73,120,"['normal', 'flying']","['QUICK_ATTACK', 'TACKLE']","['AERIAL_ACE', 'AIR_CUTTER', 'TWISTER', 'RETURN']",nan,nan,1.0,10000,True,FAMILY_PIDGEY,['pidgeotto'],,['shadoweligible']
16,pidgey_shadow,Pidgey (Shadow),85,73,120,"['normal', 'flying']","['QUICK_ATTACK', 'TACKLE']","['AERIAL_ACE', 'AIR_CUTTER', 'TWISTER', 'FRUSTRATION']",nan,nan,1.0,10000,True,FAMILY_PIDGEY,['pidgeotto_shadow'],,['shadow']
17,pidgeotto,Pidgeotto,117,105,160,"['normal', 'flying']","['STEEL_WING', 'WING_ATTACK']","['AERIAL_ACE', 'AIR_CUTTER', 'TWISTER', 'RETURN']",nan,nan,1.0,10000,True,FAMILY_PIDGEY,['pidgeot'],pidgey,['shadoweligible']
17,pidgeotto_shadow,Pidgeotto (Shadow),117,105,160,"['normal', 'flying']","['STEEL_WING', 'WING_ATTACK']","['AERIAL_ACE', 'AIR_CUTTER', 'TWISTER', 'FRUSTRATION']",nan,nan,1.0,10000,True,FAMILY_PIDGEY,['pidgeot_shadow'],pidgey_shadow,['shadow']
18,pidgeot,Pidgeot,166,154,195,"['normal', 'flying']","['AIR_SLASH', 'STEEL_WING', 'WING_ATTACK', 'GUST']","['AERIAL_ACE', 'AIR_CUTTER', 'BRAVE_BIRD', 'HURRICANE', 'FEATHER_DANCE', 'RETURN']","['WING_ATTACK', 'AIR_CUTTER', 'GUST']",nan,1.0,10000,True,FAMILY_PIDGEY,nan,pidgeotto,['shadoweligible']
18,pidgeot_mega,Pidgeot (Mega),280,175,195,"['normal', 'flying']","['AIR_SLASH', 'STEEL_WING', 'WING_ATTACK', 'GUST']","['AERIAL_ACE', 'AIR_CUTTER', 'BRAVE_BIRD', 'HURRICANE', 'FEATHER_DANCE']","['WING_ATTACK', 'AIR_CUTTER', 'GUST']",nan,1.0,10000,True,FAMILY_PIDGEY,nan,pidgeotto,['mega']
18,pidgeot_shadow,Pidgeot (Shadow),166,154,195,"['normal', 'flying']","['AIR_SLASH', 'STEEL_WING', 'WING_ATTACK', 'GUST']","['AERIAL_ACE', 'AIR_CUTTER', 'BRAVE_BIRD', 'HURRICANE', 'FEATHER_DANCE', 'FRUSTRATION']","['WING_ATTACK', 'AIR_CUTTER', 'GUST']",nan,1.0,10000,True,FAMILY_PIDGEY,nan,pidgeotto_shadow,['shadow']
19,rattata,Rattata,103,70,102,"['normal', 'none']","['QUICK_ATTACK', 'TACKLE']","['BODY_SLAM', 'DIG', 'HYPER_FANG', 'RETURN']",nan,nan,1.0,10000,True,FAMILY_RATTATA,['raticate'],,['shadoweligible']
19,rattata_alolan,Rattata (Alolan),103,70,102,"['dark', 'normal']","['QUICK_ATTACK', 'TACKLE']","['CRUNCH', 'HYPER_FANG', 'SHADOW_BALL', 'RETURN']",nan,nan,1.0,10000,True,FAMILY_RATTATA,['raticate_alolan'],,"['alolan', 'shadoweligible']"
19,rattata_alolan_shadow,Rattata (Alolan) (Shadow),103,70,102,"['dark', 'normal']","['QUICK_ATTACK', 'TACKLE']","['CRUNCH', 'HYPER_FANG', 'SHADOW_BALL', 'FRUSTRATION']",nan,nan,1.0,10000,True,FAMILY_RATTATA,['raticate_alolan_shadow'],,"['alolan', 'shadow']"
19,rattata_shadow,Rattata (Shadow),103,70,102,"['normal', 'none']","['QUICK_ATTACK', 'TACKLE']","['BODY_SLAM', 'DIG', 'HYPER_FANG', 'FRUSTRATION']",nan,nan,1.0,10000,True,FAMILY_RATTATA,['raticate_shadow'],,['shadow']
20,raticate,Raticate,161,139,146,"['normal', 'none']","['BITE', 'QUICK_ATTACK']","['DIG', 'HYPER_BEAM', 'HYPER_FANG', 'RETURN']",nan,nan,1.0,10000,True,FAMILY_RATTATA,nan,rattata_alolan,['shadoweligible']
20,raticate_alolan,Raticate (Alolan),135,154,181,"['dark', 'normal']","['BITE', 'QUICK_ATTACK']","['CRUNCH', 'HYPER_BEAM', 'HYPER_FANG', 'RETURN']",nan,nan,1.0,10000,True,FAMILY_RATTATA,nan,rattata_alolan,"['alolan', 'shadoweligible']"
20,raticate_alolan_shadow,Raticate (Alolan) (Shadow),135,154,181,"['dark', 'normal']","['BITE', 'QUICK_ATTACK']","['CRUNCH', 'HYPER_BEAM', 'HYPER_FANG', 'FRUSTRATION']",nan,nan,1.0,10000,True,FAMILY_RATTATA,nan,rattata_alolan_shadow,"['alolan', 'shadow']"
20,raticate_shadow,Raticate (Shadow),161,139,146,"['normal', 'none']","['BITE', 'QUICK_ATTACK']","['DIG', 'HYPER_BEAM', 'HYPER_FANG', 'FRUSTRATION']",nan,nan,1.0,10000,True,FAMILY_RATTATA,nan,rattata_alolan_shadow,['shadow']
21,spearow,Spearow,112,60,120,"['normal', 'flying']","['PECK', 'QUICK_ATTACK']","['AERIAL_ACE', 'DRILL_PECK', 'SKY_ATTACK', 'TWISTER']",['TWISTER'],nan,1.0,10000,True,FAMILY_SPEAROW,['fearow'],,nan
22,fearow,Fearow,182,133,163,"['normal', 'flying']","['PECK', 'STEEL_WING']","['AERIAL_ACE', 'DRILL_RUN', 'SKY_ATTACK', 'TWISTER', 'FLY']",['TWISTER'],nan,1.0,10000,True,FAMILY_SPEAROW,nan,spearow,nan
23,ekans,Ekans,110,97,111,"['poison', 'none']","['ACID', 'POISON_STING']","['GUNK_SHOT', 'POISON_FANG', 'SLUDGE_BOMB', 'WRAP', 'RETURN']",['GUNK_SHOT'],nan,3.0,50000,True,FAMILY_EKANS,['arbok'],,['shadoweligible']
23,ekans_shadow,Ekans (Shadow),110,97,111,"['poison', 'none']","['ACID', 'POISON_STING']","['GUNK_SHOT', 'POISON_FANG', 'SLUDGE_BOMB', 'WRAP', 'FRUSTRATION']",['GUNK_SHOT'],nan,3.0,50000,True,FAMILY_EKANS,['arbok_shadow'],,['shadow']
24,arbok,Arbok,167,153,155,"['poison', 'none']","['ACID', 'BITE', 'DRAGON_TAIL']","['DARK_PULSE', 'GUNK_SHOT', 'SLUDGE_WAVE', 'ACID_SPRAY', 'RETURN']",nan,nan,3.0,50000,True,FAMILY_EKANS,nan,ekans,['shadoweligible']
24,arbok_shadow,Arbok (Shadow),167,153,155,"['poison', 'none']","['ACID', 'BITE', 'DRAGON_TAIL']","['DARK_PULSE', 'GUNK_SHOT', 'SLUDGE_WAVE', 'ACID_SPRAY', 'FRUSTRATION']",nan,nan,3.0,50000,True,FAMILY_EKANS,nan,ekans_shadow,['shadow']
25,pikachu,Pikachu,112,96,111,"['electric', 'none']","['PRESENT', 'QUICK_ATTACK', 'THUNDER_SHOCK']","['DISCHARGE', 'SURF', 'THUNDER', 'THUNDERBOLT', 'WILD_CHARGE']","['PRESENT', 'SURF', 'THUNDER']",nan,1.0,10000,True,FAMILY_PIKACHU,['raichu'],pichu,nan
25,pikachu_5th_anniversary,Pikachu (5th Anniversary),112,96,111,"['electric', 'none']","['THUNDER_SHOCK', 'QUICK_ATTACK', 'PRESENT']","['DISCHARGE', 'THUNDERBOLT', 'WILD_CHARGE', 'FLY']",['PRESENT'],nan,1.0,10000,True,,nan,,nan
25,pikachu_flying,Pikachu (Flying),112,96,111,"['electric', 'none']","['QUICK_ATTACK', 'THUNDER_SHOCK']","['DISCHARGE', 'THUNDERBOLT', 'WILD_CHARGE', 'FLY']",nan,nan,1.0,10000,True,,nan,,nan
25,pikachu_horizons,Pikachu (Horizons),112,96,111,"['electric', 'none']","['THUNDER_SHOCK', 'QUICK_ATTACK']","['DISCHARGE', 'THUNDERBOLT', 'WILD_CHARGE', 'VOLT_TACKLE']",['VOLT_TACKLE'],nan,1.0,10000,True,FAMILY_PIKACHU,nan,pichu,nan
25,pikachu_kariyushi,Pikachu (Kariyushi),112,96,111,"['electric', 'none']","['THUNDER_SHOCK', 'QUICK_ATTACK']","['DISCHARGE', 'THUNDERBOLT', 'WILD_CHARGE']",nan,nan,1.0,10000,True,FAMILY_PIKACHU,nan,pichu,nan
25,pikachu_libre,Pikachu (Libre),112,96,111,"['electric', 'none']","['THUNDER_SHOCK', 'CHARM']","['FLYING_PRESS', 'PLAY_ROUGH', 'THUNDER_PUNCH']",nan,nan,1.0,10000,True,,nan,,nan
25,pikachu_pop_star,Pikachu (Pop Star),112,96,111,"['electric', 'none']","['THUNDER_SHOCK', 'CHARM']","['DRAINING_KISS', 'THUNDER_PUNCH', 'PLAY_ROUGH']",nan,nan,1.0,10000,True,FAMILY_PIKACHU,nan,pichu,nan
25,pikachu_rock_star,Pikachu (Rock Star),112,96,111,"['electric', 'none']","['THUNDER_SHOCK', 'CHARM']","['METEOR_MASH', 'THUNDER_PUNCH', 'PLAY_ROUGH']",nan,nan,1.0,10000,True,FAMILY_PIKACHU,nan,pichu,nan
25,pikachu_shaymin,Pikachu (Shaymin Scarf),112,96,111,"['electric', 'none']","['PRESENT', 'QUICK_ATTACK', 'THUNDER_SHOCK']","['DISCHARGE', 'SURF', 'THUNDER', 'THUNDERBOLT', 'WILD_CHARGE', 'GRASS_KNOT']","['PRESENT', 'SURF', 'THUNDER']",nan,1.0,10000,True,FAMILY_PIKACHU,['raichu'],pichu,nan
26,raichu,Raichu,193,151,155,"['electric', 'none']","['SPARK', 'THUNDER_SHOCK', 'VOLT_SWITCH', 'CHARM']","['BRICK_BREAK', 'THUNDER', 'THUNDER_PUNCH', 'WILD_CHARGE', 'SKULL_BASH', 'TRAILBLAZE']",['THUNDER'],nan,1.0,10000,True,FAMILY_PIKACHU,nan,pikachu,nan
26,raichu_alolan,Raichu (Alolan),201,154,155,"['electric', 'psychic']","['SPARK', 'VOLT_SWITCH', 'THUNDER_SHOCK']","['PSYCHIC', 'THUNDER_PUNCH', 'WILD_CHARGE', 'GRASS_KNOT', 'TRAILBLAZE']",nan,nan,1.0,10000,True,FAMILY_PIKACHU,nan,pikachu,['alolan']
27,sandshrew,Sandshrew,126,120,137,"['ground', 'none']","['MUD_SHOT', 'SCRATCH', 'SAND_ATTACK']","['DIG', 'ROCK_SLIDE', 'ROCK_TOMB', 'SAND_TOMB', 'RETURN']",['ROCK_TOMB'],nan,3.0,50000,True,FAMILY_SANDSHREW,['sandslash'],,['shadoweligible']
27,sandshrew_alolan,Sandshrew (Alolan),125,129,137,"['ice', 'steel']","['METAL_CLAW', 'POWDER_SNOW']","['BLIZZARD', 'GYRO_BALL', 'NIGHT_SLASH', 'RETURN']",nan,nan,3.0,50000,True,FAMILY_SANDSHREW,['sandslash_alolan'],,"['alolan', 'shadoweligible']"
27,sandshrew_alolan_shadow,Sandshrew (Alolan) (Shadow),125,129,137,"['ice', 'steel']","['METAL_CLAW', 'POWDER_SNOW']","['BLIZZARD', 'GYRO_BALL', 'NIGHT_SLASH', 'FRUSTRATION']",nan,nan,3.0,50000,True,FAMILY_SANDSHREW,['sandslash_alolan_shadow'],,"['alolan', 'shadow']"
27,sandshrew_shadow,Sandshrew (Shadow),126,120,137,"['ground', 'none']","['MUD_SHOT', 'SCRATCH', 'SAND_ATTACK']","['DIG', 'ROCK_SLIDE', 'ROCK_TOMB', 'SAND_TOMB', 'FRUSTRATION']",['ROCK_TOMB'],nan,3.0,50000,True,FAMILY_SANDSHREW,['sandslash_shadow'],,['shadow']
28,sandslash,Sandslash,182,175,181,"['ground', 'none']","['METAL_CLAW', 'MUD_SHOT', 'SAND_ATTACK']","['BULLDOZE', 'EARTHQUAKE', 'ROCK_TOMB', 'NIGHT_SLASH', 'SCORCHING_SANDS', 'RETURN']",['NIGHT_SLASH'],nan,3.0,50000,True,FAMILY_SANDSHREW,nan,sandshrew,['shadoweligible']
28,sandslash_alolan,Sandslash (Alolan),177,195,181,"['ice', 'steel']","['METAL_CLAW', 'POWDER_SNOW', 'SHADOW_CLAW']","['BLIZZARD', 'BULLDOZE', 'GYRO_BALL', 'ICE_PUNCH', 'DRILL_RUN', 'AERIAL_ACE', 'RETURN']",['SHADOW_CLAW'],nan,3.0,50000,True,FAMILY_SANDSHREW,nan,sandshrew_alolan,"['alolan', 'shadoweligible']"
28,sandslash_alolan_shadow,Sandslash (Alolan) (Shadow),177,195,181,"['ice', 'steel']","['METAL_CLAW', 'POWDER_SNOW', 'SHADOW_CLAW']","['BLIZZARD', 'BULLDOZE', 'GYRO_BALL', 'ICE_PUNCH', 'DRILL_RUN', 'AERIAL_ACE', 'FRUSTRATION']",['SHADOW_CLAW'],nan,3.0,50000,True,FAMILY_SANDSHREW,nan,sandshrew_alolan_shadow,"['alolan', 'shadow']"
28,sandslash_shadow,Sandslash (Shadow),182,175,181,"['ground', 'none']","['METAL_CLAW', 'MUD_SHOT', 'SAND_ATTACK']","['BULLDOZE', 'EARTHQUAKE', 'ROCK_TOMB', 'NIGHT_SLASH', 'SCORCHING_SANDS', 'FRUSTRATION']",['NIGHT_SLASH'],nan,3.0,50000,True,FAMILY_SANDSHREW,nan,sandshrew_shadow,['shadow']
29,nidoran_female,Nidoran Female,86,89,146,"['poison', 'none']","['BITE', 'POISON_STING']","['BODY_SLAM', 'POISON_FANG', 'SLUDGE_BOMB', 'RETURN']",nan,nan,3.0,50000,True,FAMILY_NIDORAN_FEMALE,['nidorina'],,['shadoweligible']
29,nidoran_female_shadow,Nidoran Female (Shadow),86,89,146,"['poison', 'none']","['BITE', 'POISON_STING']","['BODY_SLAM', 'POISON_FANG', 'SLUDGE_BOMB', 'FRUSTRATION']",nan,nan,3.0,50000,True,FAMILY_NIDORAN_FEMALE,['nidorina_shadow'],,['shadow']
30,nidorina,Nidorina,117,120,172,"['poison', 'none']","['BITE', 'POISON_STING']","['DIG', 'POISON_FANG', 'SLUDGE_BOMB', 'THUNDERBOLT', 'RETURN']",nan,nan,3.0,50000,True,FAMILY_NIDORAN_FEMALE,['nidoqueen'],nidoran_female,['shadoweligible']
30,nidorina_shadow,Nidorina (Shadow),117,120,172,"['poison', 'none']","['BITE', 'POISON_STING']","['DIG', 'POISON_FANG', 'SLUDGE_BOMB', 'THUNDERBOLT', 'FRUSTRATION']",nan,nan,3.0,50000,True,FAMILY_NIDORAN_FEMALE,['nidoqueen_shadow'],nidoran_female_shadow,['shadow']
31,nidoqueen,Nidoqueen,180,173,207,"['poison', 'ground']","['BITE', 'POISON_JAB']","['EARTHQUAKE', 'SLUDGE_WAVE', 'STONE_EDGE', 'EARTH_POWER', 'POISON_FANG', 'RETURN']",nan,nan,3.0,50000,True,FAMILY_NIDORAN_FEMALE,nan,nidorina,['shadoweligible']
31,nidoqueen_shadow,Nidoqueen (Shadow),180,173,207,"['poison', 'ground']","['BITE', 'POISON_JAB']","['EARTHQUAKE', 'SLUDGE_WAVE', 'STONE_EDGE', 'EARTH_POWER', 'POISON_FANG', 'FRUSTRATION']",nan,nan,3.0,50000,True,FAMILY_NIDORAN_FEMALE,nan,nidorina_shadow,['shadow']
32,nidoran_male,Nidoran Male,105,76,130,"['poison', 'none']","['PECK', 'POISON_STING']","['BODY_SLAM', 'HORN_ATTACK', 'SLUDGE_BOMB', 'RETURN']",nan,nan,3.0,50000,True,FAMILY_NIDORAN_MALE,['nidorino'],,['shadoweligible']
32,nidoran_male_shadow,Nidoran Male (Shadow),105,76,130,"['poison', 'none']","['PECK', 'POISON_STING']","['BODY_SLAM', 'HORN_ATTACK', 'SLUDGE_BOMB', 'FRUSTRATION']",nan,nan,3.0,50000,True,FAMILY_NIDORAN_MALE,['nidorino_shadow'],,['shadow']
33,nidorino,Nidorino,137,111,156,"['poison', 'none']","['POISON_JAB', 'POISON_STING']","['DIG', 'HORN_ATTACK', 'SLUDGE_BOMB', 'ICE_BEAM', 'RETURN']",nan,nan,3.0,50000,True,FAMILY_NIDORAN_MALE,['nidoking'],nidoran_male,['shadoweligible']
