pokemon,move,move_kind,type,stab_bonus,damage,energy,damage_per_energy,effect,archetype,notes
Accelgor (Shadow),Signal Beam,charged,bug,1.2,75,55,1.36,20.0% chance -1 Atk -1 Def opponent,High Energy Debuff,
Aegislash (Blade),Flash Cannon,charged,steel,1.2,110,70,1.57,,Nuke,
Aegislash (Blade),Gyro Ball,charged,steel,1.2,80,60,1.33,,High Energy,
Aegislash (Blade),Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Aegislash (Shield),Flash Cannon,charged,steel,1.2,110,70,1.57,,Nuke,
Aegislash (Shield),Gyro Ball,charged,steel,1.2,80,60,1.33,,High Energy,
Aegislash (Shield),Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Aerodactyl,Ancient Power,charged,rock,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Aerodactyl,Earth Power,charged,ground,1.0,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Aerodactyl,Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Aerodactyl,Iron Head,charged,steel,1.0,70,50,1.4,,General,
Aerodactyl,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Aerodactyl,Rock Slide,charged,rock,1.2,65,45,1.44,,General,
Aerodactyl (Mega),Ancient Power,charged,rock,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Aerodactyl (Mega),Earth Power,charged,ground,1.0,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Aerodactyl (Mega),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Aerodactyl (Mega),Iron Head,charged,steel,1.0,70,50,1.4,,General,
Aerodactyl (Mega),Rock Slide,charged,rock,1.2,65,45,1.44,,General,
Aerodactyl (Shadow),Ancient Power,charged,rock,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Aerodactyl (Shadow),Earth Power,charged,ground,1.0,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Aerodactyl (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Aerodactyl (Shadow),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Aerodactyl (Shadow),Iron Head,charged,steel,1.0,70,50,1.4,,General,
Aerodactyl (Shadow),Rock Slide,charged,rock,1.2,65,45,1.44,,General,
Aggron,Heavy Slam,charged,steel,1.2,70,50,1.4,,General,
Aggron,Meteor Beam,charged,rock,1.2,120,60,2.0,100% chance +1 Atk self,Boost Nuke,
Aggron,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Aggron,Rock Tomb,charged,rock,1.2,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Aggron,Stone Edge,charged,rock,1.2,100,55,1.82,,Nuke,
Aggron,Thunder,charged,electric,1.0,100,60,1.67,,High Energy,
Aggron (Mega),Heavy Slam,charged,steel,1.2,70,50,1.4,,General,
Aggron (Mega),Meteor Beam,charged,rock,1.0,120,60,2.0,100% chance +1 Atk self,Boost Nuke,
Aggron (Mega),Rock Tomb,charged,rock,1.0,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Aggron (Mega),Stone Edge,charged,rock,1.0,100,55,1.82,,Nuke,
Aggron (Mega),Thunder,charged,electric,1.0,100,60,1.67,,High Energy,
Aggron (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Aggron (Shadow),Heavy Slam,charged,steel,1.2,70,50,1.4,,General,
Aggron (Shadow),Meteor Beam,charged,rock,1.2,120,60,2.0,100% chance +1 Atk self,Boost Nuke,
Aggron (Shadow),Rock Tomb,charged,rock,1.2,70,60,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Aggron (Shadow),Stone Edge,charged,rock,1.2,100,55,1.82,,Nuke,
Aggron (Shadow),Thunder,charged,electric,1.0,100,60,1.67,,High Energy,
Aipom,Aerial Ace,charged,flying,1.0,55,40,1.38,,General,
Aipom,Low Sweep,charged,fighting,1.0,40,40,1.0,,Spam/Bait,
Aipom,Return,charged,normal,1.2,130,70,1.86,,Nuke,
Aipom,Swift,charged,normal,1.2,55,35,1.57,,Spam/Bait,
Aipom (Shadow),Aerial Ace,charged,flying,1.0,55,40,1.38,,General,
Aipom (Shadow),Frustration,charged,normal,1.2,10,70,0.14,,High Energy,
Aipom (Shadow),Low Sweep,charged,fighting,1.0,40,40,1.0,,Spam/Bait,
Aipom (Shadow),Swift,charged,normal,1.2,55,35,1.57,,Spam/Bait,
Alakazam,Dazzling Gleam,charged,fairy,1.0,110,70,1.57,,Nuke,elite
Alakazam,Fire Punch,charged,fire,1.0,60,40,1.5,,Spam/Bait,
Alakazam,Focus Blast,charged,fighting,1.0,150,75,2.0,,Nuke,
Alakazam,Future Sight,charged,psychic,1.2,110,65,1.69,,Nuke,
Alakazam,Psychic,charged,psychic,1.2,75,55,1.36,10.0% chance -1 Def opponent,High Energy Debuff,elite
Alakazam,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Alakazam,Shadow Ball,charged,ghost,1.0,100,55,1.82,,Nuke,
Alakazam (Mega),Dazzling Gleam,charged,fairy,1.0,110,70,1.57,,Nuke,elite
Alakazam (Mega),Fire Punch,charged,fire,1.0,60,40,1.5,,Spam/Bait,
Alakazam (Mega),Focus Blast,charged,fighting,1.0,150,75,2.0,,Nuke,
Alakazam (Mega),Future Sight,charged,psychic,1.2,110,65,1.69,,Nuke,
Alakazam (Mega),Psychic,charged,psychic,1.2,75,55,1.36,10.0% chance -1 Def opponent,High Energy Debuff,elite
Alakazam (Mega),Shadow Ball,charged,ghost,1.0,100,55,1.82,,Nuke,
Alakazam (Shadow),Dazzling Gleam,charged,fairy,1.0,110,70,1.57,,Nuke,elite
Alakazam (Shadow),Fire Punch,charged,fire,1.0,60,40,1.5,,Spam/Bait,
Alakazam (Shadow),Focus Blast,charged,fighting,1.0,150,75,2.0,,Nuke,
Alakazam (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Alakazam (Shadow),Future Sight,charged,psychic,1.2,110,65,1.69,,Nuke,
Alakazam (Shadow),Psychic,charged,psychic,1.2,75,55,1.36,10.0% chance -1 Def opponent,High Energy Debuff,elite
Alakazam (Shadow),Shadow Ball,charged,ghost,1.0,100,55,1.82,,Nuke,
Alcremie,Dazzling Gleam,charged,fairy,1.2,110,70,1.57,,Nuke,
Alcremie,Energy Ball,charged,grass,1.0,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Alcremie,Psyshock,charged,psychic,1.0,70,45,1.56,,General,
Alomomola,Blizzard,charged,ice,1.0,140,75,1.87,,Nuke,
Alomomola,Hydro Pump,charged,water,1.2,130,75,1.73,,Nuke,
Alomomola,Psychic,charged,psychic,1.0,75,55,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Altaria,Dazzling Gleam,charged,fairy,1.0,110,70,1.57,,Nuke,
Altaria,Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,
Altaria,Moonblast,charged,fairy,1.0,110,60,1.83,10.0% chance -1 Atk opponent,Debuff Nuke,elite
Altaria,Sky Attack,charged,flying,1.2,85,55,1.55,,High Energy,
Altaria (Mega),Dazzling Gleam,charged,fairy,1.2,110,70,1.57,,Nuke,
Altaria (Mega),Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,
Altaria (Mega),Moonblast,charged,fairy,1.2,110,60,1.83,10.0% chance -1 Atk opponent,Debuff Nuke,elite
Altaria (Mega),Sky Attack,charged,flying,1.0,85,55,1.55,,High Energy,
Amaura,Ancient Power,charged,rock,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Amaura,Aurora Beam,charged,ice,1.2,80,60,1.33,,High Energy,
Amaura,Thunderbolt,charged,electric,1.0,90,55,1.64,,High Energy,
Amaura,Weather Ball (Ice),charged,ice,1.2,55,35,1.57,,Spam/Bait,
Ambipom,Aerial Ace,charged,flying,1.0,55,40,1.38,,General,
Ambipom,Hyper Beam,charged,normal,1.2,150,80,1.88,,Nuke,
Ambipom,Low Sweep,charged,fighting,1.0,40,40,1.0,,Spam/Bait,
Ambipom,Return,charged,normal,1.2,130,70,1.86,,Nuke,
Ambipom (Shadow),Aerial Ace,charged,flying,1.0,55,40,1.38,,General,
Ambipom (Shadow),Frustration,charged,normal,1.2,10,70,0.14,,High Energy,
Ambipom (Shadow),Hyper Beam,charged,normal,1.2,150,80,1.88,,Nuke,
Ambipom (Shadow),Low Sweep,charged,fighting,1.0,40,40,1.0,,Spam/Bait,
Amoonguss,Foul Play,charged,dark,1.0,70,45,1.56,,General,
Amoonguss,Grass Knot,charged,grass,1.2,90,50,1.8,,General,
Amoonguss,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Amoonguss,Sludge Bomb,charged,poison,1.2,80,50,1.6,,General,
Amoonguss (Shadow),Foul Play,charged,dark,1.0,70,45,1.56,,General,
Amoonguss (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Amoonguss (Shadow),Grass Knot,charged,grass,1.2,90,50,1.8,,General,
Amoonguss (Shadow),Sludge Bomb,charged,poison,1.2,80,50,1.6,,General,
Ampharos,Brutal Swing,charged,dark,1.0,55,35,1.57,,Spam/Bait,
Ampharos,Dragon Pulse,charged,dragon,1.0,90,60,1.5,,High Energy,elite
Ampharos,Focus Blast,charged,fighting,1.0,150,75,2.0,,Nuke,
Ampharos,Power Gem,charged,rock,1.0,85,50,1.7,,General,
Ampharos,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Ampharos,Thunder,charged,electric,1.2,100,60,1.67,,High Energy,
Ampharos,Thunder Punch,charged,electric,1.2,60,40,1.5,,Spam/Bait,
Ampharos,Trailblaze,charged,grass,1.0,65,45,1.44,100% chance +1 Atk self,Boost,
Ampharos,Zap Cannon,charged,electric,1.2,150,80,1.88,33.0% chance -1 Atk opponent,Debuff Nuke,
Ampharos (Mega),Brutal Swing,charged,dark,1.0,55,35,1.57,,Spam/Bait,
Ampharos (Mega),Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,elite
Ampharos (Mega),Focus Blast,charged,fighting,1.0,150,75,2.0,,Nuke,
Ampharos (Mega),Power Gem,charged,rock,1.0,85,50,1.7,,General,
Ampharos (Mega),Thunder,charged,electric,1.2,100,60,1.67,,High Energy,
Ampharos (Mega),Thunder Punch,charged,electric,1.2,60,40,1.5,,Spam/Bait,
Ampharos (Mega),Trailblaze,charged,grass,1.0,65,45,1.44,100% chance +1 Atk self,Boost,
Ampharos (Mega),Zap Cannon,charged,electric,1.2,150,80,1.88,33.0% chance -1 Atk opponent,Debuff Nuke,
Ampharos (Shadow),Brutal Swing,charged,dark,1.0,55,35,1.57,,Spam/Bait,
Ampharos (Shadow),Dragon Pulse,charged,dragon,1.0,90,60,1.5,,High Energy,elite
Ampharos (Shadow),Focus Blast,charged,fighting,1.0,150,75,2.0,,Nuke,
Ampharos (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Ampharos (Shadow),Power Gem,charged,rock,1.0,85,50,1.7,,General,
Ampharos (Shadow),Thunder,charged,electric,1.2,100,60,1.67,,High Energy,
Ampharos (Shadow),Thunder Punch,charged,electric,1.2,60,40,1.5,,Spam/Bait,
Ampharos (Shadow),Trailblaze,charged,grass,1.0,65,45,1.44,100% chance +1 Atk self,Boost,
Ampharos (Shadow),Zap Cannon,charged,electric,1.2,150,80,1.88,33.0% chance -1 Atk opponent,Debuff Nuke,
Annihilape,Close Combat,charged,fighting,1.2,100,45,2.22,100% chance -2 Def self,Self-Debuff,
Annihilape,Ice Punch,charged,ice,1.0,60,40,1.5,,Spam/Bait,
Annihilape,Low Sweep,charged,fighting,1.2,40,40,1.0,,Spam/Bait,
Annihilape,Night Slash,charged,dark,1.0,50,35,1.43,12.5% chance +2 Atk self,Boost Spam/Bait,
Annihilape,Rage Fist,charged,ghost,1.2,50,35,1.43,100% chance +1 Atk self,Boost,elite
Annihilape,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Annihilape,Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Annihilape (Shadow),Close Combat,charged,fighting,1.2,100,45,2.22,100% chance -2 Def self,Self-Debuff,
Annihilape (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Annihilape (Shadow),Ice Punch,charged,ice,1.0,60,40,1.5,,Spam/Bait,
Annihilape (Shadow),Low Sweep,charged,fighting,1.2,40,40,1.0,,Spam/Bait,
Annihilape (Shadow),Night Slash,charged,dark,1.0,50,35,1.43,12.5% chance +2 Atk self,Boost Spam/Bait,
Annihilape (Shadow),Rage Fist,charged,ghost,1.2,50,35,1.43,100% chance +1 Atk self,Boost,elite
Annihilape (Shadow),Shadow Ball,charged,ghost,1.2,100,55,1.82,,Nuke,
Anorith,Ancient Power,charged,rock,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Anorith,Aqua Jet,charged,water,1.0,45,45,1.0,,General,
Anorith,Cross Poison,charged,poison,1.0,50,35,1.43,12.5% chance +2 Atk self,Boost Spam/Bait,
Anorith,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Anorith (Shadow),Ancient Power,charged,rock,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Anorith (Shadow),Aqua Jet,charged,water,1.0,45,45,1.0,,General,
Anorith (Shadow),Cross Poison,charged,poison,1.0,50,35,1.43,12.5% chance +2 Atk self,Boost Spam/Bait,
Anorith (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Appletun,Dragon Pulse,charged,dragon,1.2,90,60,1.5,,High Energy,
Appletun,Energy Ball,charged,grass,1.2,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Appletun,Outrage,charged,dragon,1.2,110,60,1.83,,Nuke,
Appletun,Seed Bomb,charged,grass,1.2,65,45,1.44,,General,
Applin,Struggle,charged,normal,1.0,35,100,0.35,,High Energy,
Araquanid,Bubble Beam,charged,water,1.2,25,40,0.62,100% chance -1 Atk opponent,Debuff Spam/Bait,
Araquanid,Bug Buzz,charged,bug,1.2,100,60,1.67,30.0% chance -1 Def opponent,High Energy Debuff,
Araquanid,Mirror Coat,charged,psychic,1.0,60,55,1.09,,High Energy,
Araquanid,Water Pulse,charged,water,1.2,80,55,1.45,,General,
Arbok,Acid Spray,charged,poison,1.2,20,45,0.44,100% chance -2 Def opponent,Debuff,
Arbok,Dark Pulse,charged,dark,1.0,80,50,1.6,,General,
Arbok,Gunk Shot,charged,poison,1.2,130,75,1.73,,Nuke,
Arbok,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Arbok,Sludge Wave,charged,poison,1.2,110,65,1.69,,Nuke,
Arbok (Shadow),Acid Spray,charged,poison,1.2,20,45,0.44,100% chance -2 Def opponent,Debuff,
Arbok (Shadow),Dark Pulse,charged,dark,1.0,80,50,1.6,,General,
Arbok (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Arbok (Shadow),Gunk Shot,charged,poison,1.2,130,75,1.73,,Nuke,
Arbok (Shadow),Sludge Wave,charged,poison,1.2,110,65,1.69,,Nuke,
Arboliva,Earth Power,charged,ground,1.0,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Arboliva,Energy Ball,charged,grass,1.2,90,55,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Arboliva,Seed Bomb,charged,grass,1.2,65,45,1.44,,General,
Arboliva,Trailblaze,charged,grass,1.2,65,45,1.44,100% chance +1 Atk self,Boost,
Arcanine,Bulldoze,charged,ground,1.0,45,45,1.0,50.0% chance -1 Def opponent,Debuff Spam/Bait,elite
Arcanine,Crunch,charged,dark,1.0,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Arcanine,Fire Blast,charged,fire,1.2,140,80,1.75,,Nuke,
Arcanine,Flamethrower,charged,fire,1.2,90,55,1.64,,High Energy,
Arcanine,Psychic Fangs,charged,psychic,1.0,40,35,1.14,100% chance -1 Def opponent,Debuff Spam/Bait,
Arcanine,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Arcanine,Scorching Sands,charged,ground,1.0,80,50,1.6,30.0% chance -1 Atk opponent,High Energy Debuff,
Arcanine,Wild Charge,charged,electric,1.0,100,45,2.22,100% chance -2 Def self,Self-Debuff,
Arcanine (Hisuian),Crunch,charged,dark,1.0,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Arcanine (Hisuian),Flamethrower,charged,fire,1.2,90,55,1.64,,High Energy,
Arcanine (Hisuian),Rock Slide,charged,rock,1.2,65,45,1.44,,General,
Arcanine (Hisuian),Wild Charge,charged,electric,1.0,100,45,2.22,100% chance -2 Def self,Self-Debuff,
Arcanine (Shadow),Bulldoze,charged,ground,1.0,45,45,1.0,50.0% chance -1 Def opponent,Debuff Spam/Bait,elite
Arcanine (Shadow),Crunch,charged,dark,1.0,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Arcanine (Shadow),Fire Blast,charged,fire,1.2,140,80,1.75,,Nuke,
Arcanine (Shadow),Flamethrower,charged,fire,1.2,90,55,1.64,,High Energy,
Arcanine (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Arcanine (Shadow),Psychic Fangs,charged,psychic,1.0,40,35,1.14,100% chance -1 Def opponent,Debuff Spam/Bait,
Arcanine (Shadow),Scorching Sands,charged,ground,1.0,80,50,1.6,30.0% chance -1 Atk opponent,High Energy Debuff,
Arcanine (Shadow),Wild Charge,charged,electric,1.0,100,45,2.22,100% chance -2 Def self,Self-Debuff,
Arceus,Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus,Hyper Beam,charged,normal,1.2,150,80,1.88,,Nuke,
Arceus,Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Bug),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Bug),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Bug),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Dark),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Dark),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Dark),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Dragon),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Dragon),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Dragon),Outrage,charged,dragon,1.2,110,60,1.83,,Nuke,
Arceus (Electric),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Electric),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Electric),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Fairy),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Fairy),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Fairy),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Fighting),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Fighting),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Fighting),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Fire),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Fire),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Fire),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Flying),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Flying),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Flying),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Ghost),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Ghost),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Ghost),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Grass),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Grass),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Grass),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Ground),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Ground),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Ground),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Ice),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Ice),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Ice),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Poison),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Poison),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Poison),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Psychic),Future Sight,charged,psychic,1.2,110,65,1.69,,Nuke,
Arceus (Psychic),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Psychic),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Rock),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Rock),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Rock),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Steel),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Steel),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Steel),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Arceus (Water),Future Sight,charged,psychic,1.0,110,65,1.69,,Nuke,
Arceus (Water),Hyper Beam,charged,normal,1.0,150,80,1.88,,Nuke,
Arceus (Water),Outrage,charged,dragon,1.0,110,60,1.83,,Nuke,
Archen,Ancient Power,charged,rock,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Archen,Crunch,charged,dark,1.0,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Archen,Dragon Claw,charged,dragon,1.0,50,35,1.43,,Spam/Bait,
Archen,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Archen (Shadow),Ancient Power,charged,rock,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Archen (Shadow),Crunch,charged,dark,1.0,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Archen (Shadow),Dragon Claw,charged,dragon,1.0,50,35,1.43,,Spam/Bait,
Archen (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Archeops,Ancient Power,charged,rock,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Archeops,Crunch,charged,dark,1.0,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Archeops,Dragon Claw,charged,dragon,1.0,50,35,1.43,,Spam/Bait,
Archeops,Return,charged,normal,1.0,130,70,1.86,,Nuke,
Archeops (Shadow),Ancient Power,charged,rock,1.2,60,45,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Archeops (Shadow),Crunch,charged,dark,1.0,70,45,1.56,30.0% chance -1 Def opponent,Debuff,
Archeops (Shadow),Dragon Claw,charged,dragon,1.0,50,35,1.43,,Spam/Bait,
Archeops (Shadow),Frustration,charged,normal,1.0,10,70,0.14,,High Energy,
Arctibax,Avalanche,charged,ice,1.2,90,45,2.0,,General,
