pokemon,move,move_kind,type,stab_bonus,damage,energy_gain,turns,damage_per_turn,energy_per_turn,energy,damage_per_energy,effect,archetype,notes
Absol,Dark Pulse,charged,dark,1.2,80,0,1,,,50.0,1.6,,General,
Absol,Megahorn,charged,bug,1.0,110,0,1,,,55.0,2.0,,Nuke,
Absol,Payback,charged,dark,1.2,110,0,1,,,60.0,1.83,,Nuke,
Absol,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Absol,Thunder,charged,electric,1.0,100,0,1,,,60.0,1.67,,High Energy,
Absol (Mega),Psycho Cut,fast,psychic,1.0,3,9,2,1.5,4.5,,,,Fast Charge,
Absol (Mega),Snarl,fast,dark,1.2,5,13,3,1.67,4.33,,,,Fast Charge,
Absol (Mega),Dark Pulse,charged,dark,1.2,80,0,1,,,50.0,1.6,,General,
Absol (Mega),Megahorn,charged,bug,1.0,110,0,1,,,55.0,2.0,,Nuke,
Absol (Mega),Payback,charged,dark,1.2,110,0,1,,,60.0,1.83,,Nuke,
Absol (Mega),Thunder,charged,electric,1.0,100,0,1,,,60.0,1.67,,High Energy,
Absol (Shadow),Psycho Cut,fast,psychic,1.0,3,9,2,1.5,4.5,,,,Fast Charge,
Absol (Shadow),Snarl,fast,dark,1.2,5,13,3,1.67,4.33,,,,Fast Charge,
Absol (Shadow),Dark Pulse,charged,dark,1.2,80,0,1,,,50.0,1.6,,General,
Absol (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Absol (Shadow),Megahorn,charged,bug,1.0,110,0,1,,,55.0,2.0,,Nuke,
Absol (Shadow),Payback,charged,dark,1.2,110,0,1,,,60.0,1.83,,Nuke,
Absol (Shadow),Thunder,charged,electric,1.0,100,0,1,,,60.0,1.67,,High Energy,
Accelgor,Acid,fast,poison,1.0,6,5,2,3.0,2.5,,,,Low Quality,
Accelgor,Infestation,fast,bug,1.2,6,12,3,2.0,4.0,,,,Fast Charge,
Accelgor,Water Shuriken,fast,water,1.0,6,14,3,2.0,4.67,,,,Fast Charge,
Accelgor,Acid Spray,charged,poison,1.0,20,0,1,,,45.0,0.44,100% chance -2 Def opponent,Debuff,
Accelgor,Bug Buzz,charged,bug,1.2,100,0,1,,,60.0,1.67,30.0% chance -1 Def opponent,High Energy Debuff,
Accelgor,Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Accelgor,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Accelgor,Signal Beam,charged,bug,1.2,75,0,1,,,55.0,1.36,20.0% chance -1 Atk -1 Def opponent,High Energy Debuff,
Accelgor (Shadow),Acid,fast,poison,1.0,6,5,2,3.0,2.5,,,,Low Quality,
Accelgor (Shadow),Infestation,fast,bug,1.2,6,12,3,2.0,4.0,,,,Fast Charge,
Accelgor (Shadow),Water Shuriken,fast,water,1.0,6,14,3,2.0,4.67,,,,Fast Charge,
Accelgor (Shadow),Acid Spray,charged,poison,1.0,20,0,1,,,45.0,0.44,100% chance -2 Def opponent,Debuff,
Accelgor (Shadow),Bug Buzz,charged,bug,1.2,100,0,1,,,60.0,1.67,30.0% chance -1 Def opponent,High Energy Debuff,
Accelgor (Shadow),Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Accelgor (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Accelgor (Shadow),Signal Beam,charged,bug,1.2,75,0,1,,,55.0,1.36,20.0% chance -1 Atk -1 Def opponent,High Energy Debuff,
Aegislash (Blade),Fury Cutter,fast,bug,1.0,2,4,1,2.0,4.0,,,,Fast Charge,
Aegislash (Blade),Psycho Cut,fast,psychic,1.0,3,9,2,1.5,4.5,,,,Fast Charge,
Aegislash (Blade),Flash Cannon,charged,steel,1.2,110,0,1,,,70.0,1.57,,Nuke,
Aegislash (Blade),Gyro Ball,charged,steel,1.2,80,0,1,,,60.0,1.33,,High Energy,
Aegislash (Blade),Shadow Ball,charged,ghost,1.2,100,0,1,,,55.0,1.82,,Nuke,
Aegislash (Shield),Fury Cutter,fast,bug,1.0,2,4,1,2.0,4.0,,,,Fast Charge,
Aegislash (Shield),Psycho Cut,fast,psychic,1.0,3,9,2,1.5,4.5,,,,Fast Charge,
Aegislash (Shield),Flash Cannon,charged,steel,1.2,110,0,1,,,70.0,1.57,,Nuke,
Aegislash (Shield),Gyro Ball,charged,steel,1.2,80,0,1,,,60.0,1.33,,High Energy,
Aegislash (Shield),Shadow Ball,charged,ghost,1.2,100,0,1,,,55.0,1.82,,Nuke,
Aerodactyl,Bite,fast,dark,1.0,4,2,1,4.0,2.0,,,,Heavy Damage,
Aerodactyl,Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,,,,Heavy Damage,
Aerodactyl,Steel Wing,fast,steel,1.0,7,6,2,3.5,3.0,,,,General,
Aerodactyl,Ancient Power,charged,rock,1.2,60,0,1,,,45.0,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Aerodactyl,Earth Power,charged,ground,1.0,90,0,1,,,55.0,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Aerodactyl,Hyper Beam,charged,normal,1.0,150,0,1,,,80.0,1.88,,Nuke,
Aerodactyl,Iron Head,charged,steel,1.0,70,0,1,,,50.0,1.4,,General,
Aerodactyl,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Aerodactyl,Rock Slide,charged,rock,1.2,65,0,1,,,45.0,1.44,,General,
Aerodactyl (Mega),Bite,fast,dark,1.0,4,2,1,4.0,2.0,,,,Heavy Damage,
Aerodactyl (Mega),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,,,,Heavy Damage,
Aerodactyl (Mega),Steel Wing,fast,steel,1.0,7,6,2,3.5,3.0,,,,General,
Aerodactyl (Mega),Ancient Power,charged,rock,1.2,60,0,1,,,45.0,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Aerodactyl (Mega),Earth Power,charged,ground,1.0,90,0,1,,,55.0,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Aerodactyl (Mega),Hyper Beam,charged,normal,1.0,150,0,1,,,80.0,1.88,,Nuke,
Aerodactyl (Mega),Iron Head,charged,steel,1.0,70,0,1,,,50.0,1.4,,General,
Aerodactyl (Mega),Rock Slide,charged,rock,1.2,65,0,1,,,45.0,1.44,,General,
Aerodactyl (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,,,,Heavy Damage,
Aerodactyl (Shadow),Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,,,,Heavy Damage,
Aerodactyl (Shadow),Steel Wing,fast,steel,1.0,7,6,2,3.5,3.0,,,,General,
Aerodactyl (Shadow),Ancient Power,charged,rock,1.2,60,0,1,,,45.0,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Aerodactyl (Shadow),Earth Power,charged,ground,1.0,90,0,1,,,55.0,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Aerodactyl (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Aerodactyl (Shadow),Hyper Beam,charged,normal,1.0,150,0,1,,,80.0,1.88,,Nuke,
Aerodactyl (Shadow),Iron Head,charged,steel,1.0,70,0,1,,,50.0,1.4,,General,
Aerodactyl (Shadow),Rock Slide,charged,rock,1.2,65,0,1,,,45.0,1.44,,General,
Aggron,Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,,,,Multipurpose,
Aggron,Iron Tail,fast,steel,1.2,10,7,3,3.33,2.33,,,,General,
Aggron,Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,,,,Heavy Damage,
Aggron,Heavy Slam,charged,steel,1.2,70,0,1,,,50.0,1.4,,General,
Aggron,Meteor Beam,charged,rock,1.2,120,0,1,,,60.0,2.0,100% chance +1 Atk self,Boost Nuke,
Aggron,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Aggron,Rock Tomb,charged,rock,1.2,70,0,1,,,60.0,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Aggron,Stone Edge,charged,rock,1.2,100,0,1,,,55.0,1.82,,Nuke,
Aggron,Thunder,charged,electric,1.0,100,0,1,,,60.0,1.67,,High Energy,
Aggron (Mega),Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,,,,Multipurpose,
Aggron (Mega),Iron Tail,fast,steel,1.2,10,7,3,3.33,2.33,,,,General,
Aggron (Mega),Smack Down,fast,rock,1.0,11,8,3,3.67,2.67,,,,Heavy Damage,
Aggron (Mega),Heavy Slam,charged,steel,1.2,70,0,1,,,50.0,1.4,,General,
Aggron (Mega),Meteor Beam,charged,rock,1.0,120,0,1,,,60.0,2.0,100% chance +1 Atk self,Boost Nuke,
Aggron (Mega),Rock Tomb,charged,rock,1.0,70,0,1,,,60.0,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Aggron (Mega),Stone Edge,charged,rock,1.0,100,0,1,,,55.0,1.82,,Nuke,
Aggron (Mega),Thunder,charged,electric,1.0,100,0,1,,,60.0,1.67,,High Energy,
Aggron (Shadow),Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,,,,Multipurpose,
Aggron (Shadow),Iron Tail,fast,steel,1.2,10,7,3,3.33,2.33,,,,General,
Aggron (Shadow),Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,,,,Heavy Damage,
Aggron (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Aggron (Shadow),Heavy Slam,charged,steel,1.2,70,0,1,,,50.0,1.4,,General,
Aggron (Shadow),Meteor Beam,charged,rock,1.2,120,0,1,,,60.0,2.0,100% chance +1 Atk self,Boost Nuke,
Aggron (Shadow),Rock Tomb,charged,rock,1.2,70,0,1,,,60.0,1.17,100% chance -1 Atk opponent,High Energy Debuff,
Aggron (Shadow),Stone Edge,charged,rock,1.2,100,0,1,,,55.0,1.82,,Nuke,
Aggron (Shadow),Thunder,charged,electric,1.0,100,0,1,,,60.0,1.67,,High Energy,
Aipom,Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,,,,Multipurpose,
Aipom,Scratch,fast,normal,1.2,4,2,1,4.0,2.0,,,,Heavy Damage,
Aipom,Aerial Ace,charged,flying,1.0,55,0,1,,,40.0,1.38,,General,
Aipom,Low Sweep,charged,fighting,1.0,40,0,1,,,40.0,1.0,,Spam/Bait,
Aipom,Return,charged,normal,1.2,130,0,1,,,70.0,1.86,,Nuke,
Aipom,Swift,charged,normal,1.2,55,0,1,,,35.0,1.57,,Spam/Bait,
Aipom (Shadow),Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,,,,Multipurpose,
Aipom (Shadow),Scratch,fast,normal,1.2,4,2,1,4.0,2.0,,,,Heavy Damage,
Aipom (Shadow),Aerial Ace,charged,flying,1.0,55,0,1,,,40.0,1.38,,General,
Aipom (Shadow),Frustration,charged,normal,1.2,10,0,1,,,70.0,0.14,,High Energy,
Aipom (Shadow),Low Sweep,charged,fighting,1.0,40,0,1,,,40.0,1.0,,Spam/Bait,
Aipom (Shadow),Swift,charged,normal,1.2,55,0,1,,,35.0,1.57,,Spam/Bait,
Alakazam,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,,,,Multipurpose,
Alakazam,Counter,fast,fighting,1.0,8,6,2,4.0,3.0,,,,Multipurpose,elite
Alakazam,Psycho Cut,fast,psychic,1.2,3,9,2,1.5,4.5,,,,Fast Charge,
Alakazam,Dazzling Gleam,charged,fairy,1.0,110,0,1,,,70.0,1.57,,Nuke,elite
Alakazam,Fire Punch,charged,fire,1.0,60,0,1,,,40.0,1.5,,Spam/Bait,
Alakazam,Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Alakazam,Future Sight,charged,psychic,1.2,110,0,1,,,65.0,1.69,,Nuke,
Alakazam,Psychic,charged,psychic,1.2,75,0,1,,,55.0,1.36,10.0% chance -1 Def opponent,High Energy Debuff,elite
Alakazam,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Alakazam,Shadow Ball,charged,ghost,1.0,100,0,1,,,55.0,1.82,,Nuke,
Alakazam (Mega),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,,,,Multipurpose,
Alakazam (Mega),Counter,fast,fighting,1.0,8,6,2,4.0,3.0,,,,Multipurpose,elite
Alakazam (Mega),Psycho Cut,fast,psychic,1.2,3,9,2,1.5,4.5,,,,Fast Charge,
Alakazam (Mega),Dazzling Gleam,charged,fairy,1.0,110,0,1,,,70.0,1.57,,Nuke,elite
Alakazam (Mega),Fire Punch,charged,fire,1.0,60,0,1,,,40.0,1.5,,Spam/Bait,
Alakazam (Mega),Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Alakazam (Mega),Future Sight,charged,psychic,1.2,110,0,1,,,65.0,1.69,,Nuke,
Alakazam (Mega),Psychic,charged,psychic,1.2,75,0,1,,,55.0,1.36,10.0% chance -1 Def opponent,High Energy Debuff,elite
Alakazam (Mega),Shadow Ball,charged,ghost,1.0,100,0,1,,,55.0,1.82,,Nuke,
Alakazam (Shadow),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,,,,Multipurpose,
Alakazam (Shadow),Counter,fast,fighting,1.0,8,6,2,4.0,3.0,,,,Multipurpose,elite
Alakazam (Shadow),Psycho Cut,fast,psychic,1.2,3,9,2,1.5,4.5,,,,Fast Charge,
Alakazam (Shadow),Dazzling Gleam,charged,fairy,1.0,110,0,1,,,70.0,1.57,,Nuke,elite
Alakazam (Shadow),Fire Punch,charged,fire,1.0,60,0,1,,,40.0,1.5,,Spam/Bait,
Alakazam (Shadow),Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Alakazam (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Alakazam (Shadow),Future Sight,charged,psychic,1.2,110,0,1,,,65.0,1.69,,Nuke,
Alakazam (Shadow),Psychic,charged,psychic,1.2,75,0,1,,,55.0,1.36,10.0% chance -1 Def opponent,High Energy Debuff,elite
Alakazam (Shadow),Shadow Ball,charged,ghost,1.0,100,0,1,,,55.0,1.82,,Nuke,
Alcremie,Charm,fast,fairy,1.2,15,6,3,5.0,2.0,,,,Heavy Damage,
Alcremie,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,,,,General,
Alcremie,Dazzling Gleam,charged,fairy,1.2,110,0,1,,,70.0,1.57,,Nuke,
Alcremie,Energy Ball,charged,grass,1.0,90,0,1,,,55.0,1.64,10.0% chance -1 Def opponent,High Energy Debuff,
Alcremie,Psyshock,charged,psychic,1.0,70,0,1,,,45.0,1.56,,General,
Alomomola,Hidden Power (Bug),fast,bug,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Dark),fast,dark,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Dragon),fast,dragon,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Electric),fast,electric,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Fighting),fast,fighting,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Fire),fast,fire,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Flying),fast,flying,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Ghost),fast,ghost,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Grass),fast,grass,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Ground),fast,ground,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Ice),fast,ice,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Poison),fast,poison,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Psychic),fast,psychic,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Rock),fast,rock,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Steel),fast,steel,1.0,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Hidden Power (Water),fast,water,1.2,9,8,3,3.0,2.67,,,,Low Quality,
Alomomola,Waterfall,fast,water,1.2,12,8,3,4.0,2.67,,,,Heavy Damage,
Alomomola,Blizzard,charged,ice,1.0,140,0,1,,,75.0,1.87,,Nuke,
Alomomola,Hydro Pump,charged,water,1.2,130,0,1,,,75.0,1.73,,Nuke,
Alomomola,Psychic,charged,psychic,1.0,75,0,1,,,55.0,1.36,10.0% chance -1 Def opponent,High Energy Debuff,
Altaria,Dragon Breath,fast,dragon,1.2,4,3,1,4.0,3.0,,,,Multipurpose,
Altaria,Peck,fast,flying,1.2,6,5,2,3.0,2.5,,,,Low Quality,
Altaria,Dazzling Gleam,charged,fairy,1.0,110,0,1,,,70.0,1.57,,Nuke,
Altaria,Dragon Pulse,charged,dragon,1.2,90,0,1,,,60.0,1.5,,High Energy,
Altaria,Moonblast,charged,fairy,1.0,110,0,1,,,60.0,1.83,10.0% chance -1 Atk opponent,Debuff Nuke,elite
Altaria,Sky Attack,charged,flying,1.2,85,0,1,,,55.0,1.55,,High Energy,
Altaria (Mega),Dragon Breath,fast,dragon,1.2,4,3,1,4.0,3.0,,,,Multipurpose,
Altaria (Mega),Peck,fast,flying,1.0,6,5,2,3.0,2.5,,,,Low Quality,
Altaria (Mega),Dazzling Gleam,charged,fairy,1.2,110,0,1,,,70.0,1.57,,Nuke,
Altaria (Mega),Dragon Pulse,charged,dragon,1.2,90,0,1,,,60.0,1.5,,High Energy,
Altaria (Mega),Moonblast,charged,fairy,1.2,110,0,1,,,60.0,1.83,10.0% chance -1 Atk opponent,Debuff Nuke,elite
Altaria (Mega),Sky Attack,charged,flying,1.0,85,0,1,,,55.0,1.55,,High Energy,
Amaura,Frost Breath,fast,ice,1.2,7,5,2,3.5,2.5,,,,Heavy Damage,
Amaura,Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,,,,Fast Charge,
Amaura,Ancient Power,charged,rock,1.2,60,0,1,,,45.0,1.33,10.0% chance +1 Atk +1 Def self,Boost,
Amaura,Aurora Beam,charged,ice,1.2,80,0,1,,,60.0,1.33,,High Energy,
Amaura,Thunderbolt,charged,electric,1.0,90,0,1,,,55.0,1.64,,High Energy,
Amaura,Weather Ball (Ice),charged,ice,1.2,55,0,1,,,35.0,1.57,,Spam/Bait,
Ambipom,Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,,,,Multipurpose,
Ambipom,Scratch,fast,normal,1.2,4,2,1,4.0,2.0,,,,Heavy Damage,
Ambipom,Aerial Ace,charged,flying,1.0,55,0,1,,,40.0,1.38,,General,
Ambipom,Hyper Beam,charged,normal,1.2,150,0,1,,,80.0,1.88,,Nuke,
Ambipom,Low Sweep,charged,fighting,1.0,40,0,1,,,40.0,1.0,,Spam/Bait,
Ambipom,Return,charged,normal,1.2,130,0,1,,,70.0,1.86,,Nuke,
Ambipom (Shadow),Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,,,,Multipurpose,
Ambipom (Shadow),Scratch,fast,normal,1.2,4,2,1,4.0,2.0,,,,Heavy Damage,
Ambipom (Shadow),Aerial Ace,charged,flying,1.0,55,0,1,,,40.0,1.38,,General,
Ambipom (Shadow),Frustration,charged,normal,1.2,10,0,1,,,70.0,0.14,,High Energy,
Ambipom (Shadow),Hyper Beam,charged,normal,1.2,150,0,1,,,80.0,1.88,,Nuke,
Ambipom (Shadow),Low Sweep,charged,fighting,1.0,40,0,1,,,40.0,1.0,,Spam/Bait,
Amoonguss,Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,,,,Multipurpose,
Amoonguss,Feint Attack,fast,dark,1.0,6,6,2,3.0,3.0,,,,General,
Amoonguss,Foul Play,charged,dark,1.0,70,0,1,,,45.0,1.56,,General,
Amoonguss,Grass Knot,charged,grass,1.2,90,0,1,,,50.0,1.8,,General,
Amoonguss,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Amoonguss,Sludge Bomb,charged,poison,1.2,80,0,1,,,50.0,1.6,,General,
Amoonguss (Shadow),Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,,,,Multipurpose,
Amoonguss (Shadow),Feint Attack,fast,dark,1.0,6,6,2,3.0,3.0,,,,General,
Amoonguss (Shadow),Foul Play,charged,dark,1.0,70,0,1,,,45.0,1.56,,General,
Amoonguss (Shadow),Frustration,charged,normal,1.0,10,0,1,,,70.0,0.14,,High Energy,
Amoonguss (Shadow),Grass Knot,charged,grass,1.2,90,0,1,,,50.0,1.8,,General,
Amoonguss (Shadow),Sludge Bomb,charged,poison,1.2,80,0,1,,,50.0,1.6,,General,
Ampharos,Charge Beam,fast,electric,1.2,5,11,3,1.67,3.67,,,,Fast Charge,
Ampharos,Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,,,,Multipurpose,
Ampharos,Brutal Swing,charged,dark,1.0,55,0,1,,,35.0,1.57,,Spam/Bait,
Ampharos,Dragon Pulse,charged,dragon,1.0,90,0,1,,,60.0,1.5,,High Energy,elite
Ampharos,Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Ampharos,Power Gem,charged,rock,1.0,85,0,1,,,50.0,1.7,,General,
Ampharos,Return,charged,normal,1.0,130,0,1,,,70.0,1.86,,Nuke,
Ampharos,Thunder,charged,electric,1.2,100,0,1,,,60.0,1.67,,High Energy,
Ampharos,Thunder Punch,charged,electric,1.2,60,0,1,,,40.0,1.5,,Spam/Bait,
Ampharos,Trailblaze,charged,grass,1.0,65,0,1,,,45.0,1.44,100% chance +1 Atk self,Boost,
Ampharos,Zap Cannon,charged,electric,1.2,150,0,1,,,80.0,1.88,33.0% chance -1 Atk opponent,Debuff Nuke,
Ampharos (Mega),Charge Beam,fast,electric,1.2,5,11,3,1.67,3.67,,,,Fast Charge,
Ampharos (Mega),Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,,,,Multipurpose,
Ampharos (Mega),Brutal Swing,charged,dark,1.0,55,0,1,,,35.0,1.57,,Spam/Bait,
Ampharos (Mega),Dragon Pulse,charged,dragon,1.2,90,0,1,,,60.0,1.5,,High Energy,elite
Ampharos (Mega),Focus Blast,charged,fighting,1.0,150,0,1,,,75.0,2.0,,Nuke,
Ampharos (Mega),Power Gem,charged,rock,1.0,85,0,1,,,50.0,1.7,,General,
Ampharos (Mega),Thunder,charged,electric,1.2,100,0,1,,,60.0,1.67,,High Energy,
Ampharos (Mega),Thunder Punch,charged,electric,1.2,60,0,1,,,40.0,1.5,,Spam/Bait,
Ampharos (Mega),Trailblaze,charged,grass,1.0,65,0,1,,,45.0,1.44,100% chance +1 Atk self,Boost,
Ampharos (Mega),Zap Cannon,charged,electric,1.2,150,0,1,,,80.0,1.88,33.0% chance -1 Atk opponent,Debuff Nuke,
Ampharos (Shadow),Charge Beam,fast,electric,1.2,5,11,3,1.67,3.67,,,,Fast Charge,
Ampharos (Shadow),Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,,,,Multipurpose,
Ampharos (Shadow),Brutal Swing,charged,dark,1.0,55,0,1,,,35.0,1.57,,Spam/Bait,
Ampharos (Shadow),Dragon Pulse,charged,dragon,1.0,90,0,1,,,60.0,1.5,,High Energy,elite
