pokemon,move,move_kind,type,stab_bonus,damage,energy_gain,turns,damage_per_turn,energy_per_turn,archetype,notes
Aggron (Shadow),Iron Tail,fast,steel,1.2,10,7,3,3.33,2.33,General,
Aggron (Shadow),Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,Heavy Damage,
Aipom,Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,Multipurpose,
Aipom,Scratch,fast,normal,1.2,4,2,1,4.0,2.0,Heavy Damage,
Aipom (Shadow),Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,Multipurpose,
Aipom (Shadow),Scratch,fast,normal,1.2,4,2,1,4.0,2.0,Heavy Damage,
Alakazam,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Alakazam,Counter,fast,fighting,1.0,8,6,2,4.0,3.0,Multipurpose,elite
Alakazam,Psycho Cut,fast,psychic,1.2,3,9,2,1.5,4.5,Fast Charge,
Alakazam (Mega),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Alakazam (Mega),Counter,fast,fighting,1.0,8,6,2,4.0,3.0,Multipurpose,elite
Alakazam (Mega),Psycho Cut,fast,psychic,1.2,3,9,2,1.5,4.5,Fast Charge,
Alakazam (Shadow),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Alakazam (Shadow),Counter,fast,fighting,1.0,8,6,2,4.0,3.0,Multipurpose,elite
Alakazam (Shadow),Psycho Cut,fast,psychic,1.2,3,9,2,1.5,4.5,Fast Charge,
Alcremie,Charm,fast,fairy,1.2,15,6,3,5.0,2.0,Heavy Damage,
Alcremie,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Alomomola,Hidden Power (Bug),fast,bug,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Dark),fast,dark,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Dragon),fast,dragon,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Electric),fast,electric,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Fighting),fast,fighting,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Fire),fast,fire,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Flying),fast,flying,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Ghost),fast,ghost,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Grass),fast,grass,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Ground),fast,ground,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Ice),fast,ice,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Poison),fast,poison,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Psychic),fast,psychic,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Rock),fast,rock,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Steel),fast,steel,1.0,9,8,3,3.0,2.67,Low Quality,
Alomomola,Hidden Power (Water),fast,water,1.2,9,8,3,3.0,2.67,Low Quality,
Alomomola,Waterfall,fast,water,1.2,12,8,3,4.0,2.67,Heavy Damage,
Altaria,Dragon Breath,fast,dragon,1.2,4,3,1,4.0,3.0,Multipurpose,
Altaria,Peck,fast,flying,1.2,6,5,2,3.0,2.5,Low Quality,
Altaria (Mega),Dragon Breath,fast,dragon,1.2,4,3,1,4.0,3.0,Multipurpose,
Altaria (Mega),Peck,fast,flying,1.0,6,5,2,3.0,2.5,Low Quality,
Amaura,Frost Breath,fast,ice,1.2,7,5,2,3.5,2.5,Heavy Damage,
Amaura,Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,Fast Charge,
Ambipom,Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,Multipurpose,
Ambipom,Scratch,fast,normal,1.2,4,2,1,4.0,2.0,Heavy Damage,
Ambipom (Shadow),Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,Multipurpose,
Ambipom (Shadow),Scratch,fast,normal,1.2,4,2,1,4.0,2.0,Heavy Damage,
Amoonguss,Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,Multipurpose,
Amoonguss,Feint Attack,fast,dark,1.0,6,6,2,3.0,3.0,General,
Amoonguss (Shadow),Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,Multipurpose,
Amoonguss (Shadow),Feint Attack,fast,dark,1.0,6,6,2,3.0,3.0,General,
Ampharos,Charge Beam,fast,electric,1.2,5,11,3,1.67,3.67,Fast Charge,
Ampharos,Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,Multipurpose,
Ampharos (Mega),Charge Beam,fast,electric,1.2,5,11,3,1.67,3.67,Fast Charge,
Ampharos (Mega),Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,Multipurpose,
Ampharos (Shadow),Charge Beam,fast,electric,1.2,5,11,3,1.67,3.67,Fast Charge,
Ampharos (Shadow),Volt Switch,fast,electric,1.2,12,16,4,3.0,4.0,Multipurpose,
Annihilape,Counter,fast,fighting,1.2,8,6,2,4.0,3.0,Multipurpose,
Annihilape,Low Kick,fast,fighting,1.2,4,5,2,2.0,2.5,Low Quality,
Annihilape (Shadow),Counter,fast,fighting,1.2,8,6,2,4.0,3.0,Multipurpose,
Annihilape (Shadow),Low Kick,fast,fighting,1.2,4,5,2,2.0,2.5,Low Quality,
Anorith,Scratch,fast,normal,1.0,4,2,1,4.0,2.0,Heavy Damage,
Anorith,Struggle Bug,fast,bug,1.2,9,8,3,3.0,2.67,Low Quality,
Anorith (Shadow),Scratch,fast,normal,1.0,4,2,1,4.0,2.0,Heavy Damage,
Anorith (Shadow),Struggle Bug,fast,bug,1.2,9,8,3,3.0,2.67,Low Quality,
Appletun,Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,Multipurpose,
Appletun,Bullet Seed,fast,grass,1.2,5,13,3,1.67,4.33,Fast Charge,
Applin,Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,Multipurpose,
Araquanid,Bug Bite,fast,bug,1.2,3,3,1,3.0,3.0,General,
Araquanid,Infestation,fast,bug,1.2,6,12,3,2.0,4.0,Fast Charge,
Arbok,Acid,fast,poison,1.2,6,5,2,3.0,2.5,Low Quality,
Arbok,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Arbok,Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,
Arbok (Shadow),Acid,fast,poison,1.2,6,5,2,3.0,2.5,Low Quality,
Arbok (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Arbok (Shadow),Dragon Tail,fast,dragon,1.0,13,9,3,4.33,3.0,Multipurpose,
Arboliva,Magical Leaf,fast,grass,1.2,10,10,3,3.33,3.33,General,
Arboliva,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Arboliva,Tackle,fast,normal,1.2,3,3,1,3.0,3.0,General,
Arcanine,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,elite
Arcanine,Fire Fang,fast,fire,1.2,8,6,2,4.0,3.0,Multipurpose,
Arcanine,Snarl,fast,dark,1.0,5,13,3,1.67,4.33,Fast Charge,
Arcanine,Thunder Fang,fast,electric,1.0,8,6,2,4.0,3.0,Multipurpose,
Arcanine (Hisuian),Fire Fang,fast,fire,1.2,8,6,2,4.0,3.0,Multipurpose,
Arcanine (Hisuian),Rock Smash,fast,fighting,1.0,9,7,3,3.0,2.33,Low Quality,
Arcanine (Hisuian),Snarl,fast,dark,1.0,5,13,3,1.67,4.33,Fast Charge,
Arcanine (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,elite
Arcanine (Shadow),Fire Fang,fast,fire,1.2,8,6,2,4.0,3.0,Multipurpose,
Arcanine (Shadow),Snarl,fast,dark,1.0,5,13,3,1.67,4.33,Fast Charge,
Arcanine (Shadow),Thunder Fang,fast,electric,1.0,8,6,2,4.0,3.0,Multipurpose,
Arceus,Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus,Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Bug),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Bug),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Dark),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Dark),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Dragon),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Dragon),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Electric),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Electric),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Fairy),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Fairy),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Fighting),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Fighting),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Fire),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Fire),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Flying),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Flying),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Ghost),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Ghost),Shadow Claw,fast,ghost,1.2,6,8,2,3.0,4.0,Multipurpose,
Arceus (Grass),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Grass),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Ground),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Ground),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Ice),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Ice),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Poison),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Poison),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Psychic),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Psychic),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Rock),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Rock),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Steel),Iron Tail,fast,steel,1.2,10,7,3,3.33,2.33,General,
Arceus (Steel),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Arceus (Water),Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Arceus (Water),Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Archen,Quick Attack,fast,normal,1.0,5,8,2,2.5,4.0,Fast Charge,
Archen,Wing Attack,fast,flying,1.2,5,7,2,2.5,3.5,Fast Charge,
Archen (Shadow),Quick Attack,fast,normal,1.0,5,8,2,2.5,4.0,Fast Charge,
Archen (Shadow),Wing Attack,fast,flying,1.2,5,7,2,2.5,3.5,Fast Charge,
Archeops,Steel Wing,fast,steel,1.0,7,6,2,3.5,3.0,General,
Archeops,Wing Attack,fast,flying,1.2,5,7,2,2.5,3.5,Fast Charge,
Archeops (Shadow),Steel Wing,fast,steel,1.0,7,6,2,3.5,3.0,General,
Archeops (Shadow),Wing Attack,fast,flying,1.2,5,7,2,2.5,3.5,Fast Charge,
Arctibax,Dragon Breath,fast,dragon,1.2,4,3,1,4.0,3.0,Multipurpose,
Arctibax,Ice Fang,fast,ice,1.2,8,6,2,4.0,3.0,Multipurpose,
Arctovish,Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,Fast Charge,
Arctovish,Water Gun,fast,water,1.2,3,3,1,3.0,3.0,General,
Arctozolt,Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,Fast Charge,
Arctozolt,Thunder Shock,fast,electric,1.2,4,9,2,2.0,4.5,Fast Charge,
Ariados,Infestation,fast,bug,1.2,6,12,3,2.0,4.0,Fast Charge,
Ariados,Poison Sting,fast,poison,1.2,4,9,2,2.0,4.5,Fast Charge,
Armaldo,Fury Cutter,fast,bug,1.2,2,4,1,2.0,4.0,Fast Charge,
Armaldo,Struggle Bug,fast,bug,1.2,9,8,3,3.0,2.67,Low Quality,
Armaldo (Shadow),Fury Cutter,fast,bug,1.2,2,4,1,2.0,4.0,Fast Charge,
Armaldo (Shadow),Struggle Bug,fast,bug,1.2,9,8,3,3.0,2.67,Low Quality,
Armarouge,Ember,fast,fire,1.2,7,6,2,3.5,3.0,Heavy Damage,
Armarouge,Incinerate,fast,fire,1.2,20,20,5,4.0,4.0,Multipurpose,
Aromatisse,Charge Beam,fast,electric,1.0,5,11,3,1.67,3.67,Fast Charge,
Aromatisse,Charm,fast,fairy,1.2,15,6,3,5.0,2.0,Heavy Damage,
Aron,Metal Claw,fast,steel,1.2,5,7,2,2.5,3.5,General,
Aron,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Aron (Shadow),Metal Claw,fast,steel,1.2,5,7,2,2.5,3.5,General,
Aron (Shadow),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Arrokuda,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Arrokuda,Peck,fast,flying,1.0,6,5,2,3.0,2.5,Low Quality,
Arrokuda,Waterfall,fast,water,1.2,12,8,3,4.0,2.67,Heavy Damage,
Articuno,Frost Breath,fast,ice,1.2,7,5,2,3.5,2.5,Heavy Damage,
Articuno,Ice Shard,fast,ice,1.2,9,10,3,3.0,3.33,General,
Articuno (Galarian),Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Articuno (Galarian),Psycho Cut,fast,psychic,1.2,3,9,2,1.5,4.5,Fast Charge,
Articuno (Shadow),Frost Breath,fast,ice,1.2,7,5,2,3.5,2.5,Heavy Damage,
Articuno (Shadow),Ice Shard,fast,ice,1.2,9,10,3,3.0,3.33,General,
Audino,Pound,fast,normal,1.2,4,4,2,2.0,2.0,Low Quality,
Audino,Zen Headbutt,fast,psychic,1.0,8,6,3,2.67,2.0,Low Quality,
Aurorus,Frost Breath,fast,ice,1.2,7,5,2,3.5,2.5,Heavy Damage,
Aurorus,Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,Fast Charge,
Aurorus,Rock Throw,fast,rock,1.2,8,5,2,4.0,2.5,Heavy Damage,
Avalugg,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Avalugg,Ice Fang,fast,ice,1.2,8,6,2,4.0,3.0,Multipurpose,
Avalugg (Hisuian),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Avalugg (Hisuian),Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,Fast Charge,
Avalugg (Hisuian),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Axew,Iron Tail,fast,steel,1.0,10,7,3,3.33,2.33,General,
Axew,Scratch,fast,normal,1.0,4,2,1,4.0,2.0,Heavy Damage,
Azelf,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Azelf,Extrasensory,fast,psychic,1.2,8,10,3,2.67,3.33,General,
Azumarill,Bubble,fast,water,1.2,8,11,3,2.67,3.67,Fast Charge,
Azumarill,Rock Smash,fast,fighting,1.0,9,7,3,3.0,2.33,Low Quality,
Azurill,Bubble,fast,water,1.0,8,11,3,2.67,3.67,Fast Charge,
Azurill,Splash,fast,water,1.0,0,12,4,0.0,3.0,Low Quality,
Bagon,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Bagon,Ember,fast,fire,1.0,7,6,2,3.5,3.0,Heavy Damage,
Bagon (Shadow),Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Bagon (Shadow),Ember,fast,fire,1.0,7,6,2,3.5,3.0,Heavy Damage,
Baltoy,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Baltoy,Extrasensory,fast,psychic,1.2,8,10,3,2.67,3.33,General,
Banette,Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Banette,Shadow Claw,fast,ghost,1.2,6,8,2,3.0,4.0,Multipurpose,
Banette (Mega),Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Banette (Mega),Shadow Claw,fast,ghost,1.2,6,8,2,3.0,4.0,Multipurpose,
Banette (Shadow),Hex,fast,ghost,1.2,6,12,3,2.0,4.0,Fast Charge,
Banette (Shadow),Shadow Claw,fast,ghost,1.2,6,8,2,3.0,4.0,Multipurpose,
Barbaracle,Fury Cutter,fast,bug,1.0,2,4,1,2.0,4.0,Fast Charge,
Barbaracle,Mud Slap,fast,ground,1.0,12,10,3,4.0,3.33,Multipurpose,
Barbaracle,Water Gun,fast,water,1.2,3,3,1,3.0,3.0,General,
Barboach,Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Barboach,Water Gun,fast,water,1.2,3,3,1,3.0,3.0,General,
Barboach (Shadow),Mud Shot,fast,ground,1.2,4,8,2,2.0,4.0,Fast Charge,
Barboach (Shadow),Water Gun,fast,water,1.2,3,3,1,3.0,3.0,General,
Barraskewda,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Barraskewda,Peck,fast,flying,1.0,6,5,2,3.0,2.5,Low Quality,
Barraskewda,Waterfall,fast,water,1.2,12,8,3,4.0,2.67,Heavy Damage,
Basculegion (Female),Splash,fast,water,1.2,0,12,4,0.0,3.0,Low Quality,
Basculegion (Male),Splash,fast,water,1.2,0,12,4,0.0,3.0,Low Quality,
Basculin,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Basculin,Water Gun,fast,water,1.2,3,3,1,3.0,3.0,General,
Bastiodon,Iron Tail,fast,steel,1.2,10,7,3,3.33,2.33,General,
Bastiodon,Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,Heavy Damage,
Bastiodon (Shadow),Iron Tail,fast,steel,1.2,10,7,3,3.33,2.33,General,
Bastiodon (Shadow),Smack Down,fast,rock,1.2,11,8,3,3.67,2.67,Heavy Damage,
Baxcalibur,Dragon Breath,fast,dragon,1.2,4,3,1,4.0,3.0,Multipurpose,
Baxcalibur,Ice Fang,fast,ice,1.2,8,6,2,4.0,3.0,Multipurpose,
Bayleef,Magical Leaf,fast,grass,1.2,10,10,3,3.33,3.33,General,
Bayleef,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Bayleef,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Bayleef (Shadow),Magical Leaf,fast,grass,1.2,10,10,3,3.33,3.33,General,
Bayleef (Shadow),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Bayleef (Shadow),Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Beartic,Charm,fast,fairy,1.0,15,6,3,5.0,2.0,Heavy Damage,
Beartic,Powder Snow,fast,ice,1.2,5,8,2,2.5,4.0,Fast Charge,
Beautifly,Infestation,fast,bug,1.2,6,12,3,2.0,4.0,Fast Charge,
Beautifly,Struggle Bug,fast,bug,1.2,9,8,3,3.0,2.67,Low Quality,
Beedrill,Bug Bite,fast,bug,1.2,3,3,1,3.0,3.0,General,elite
Beedrill,Infestation,fast,bug,1.2,6,12,3,2.0,4.0,Fast Charge,
Beedrill,Poison Jab,fast,poison,1.2,7,7,2,3.5,3.5,General,
Beedrill (Mega),Bug Bite,fast,bug,1.2,3,3,1,3.0,3.0,General,elite
Beedrill (Mega),Infestation,fast,bug,1.2,6,12,3,2.0,4.0,Fast Charge,
Beedrill (Mega),Poison Jab,fast,poison,1.2,7,7,2,3.5,3.5,General,
Beedrill (Shadow),Bug Bite,fast,bug,1.2,3,3,1,3.0,3.0,General,elite
Beedrill (Shadow),Infestation,fast,bug,1.2,6,12,3,2.0,4.0,Fast Charge,
Beedrill (Shadow),Poison Jab,fast,poison,1.2,7,7,2,3.5,3.5,General,
Beheeyem,Astonish,fast,ghost,1.0,12,10,3,4.0,3.33,Multipurpose,
Beheeyem,Confusion,fast,psychic,1.2,16,12,4,4.0,3.0,Multipurpose,
Beldum,Take Down,fast,normal,1.0,5,8,3,1.67,2.67,Low Quality,
Beldum (Shadow),Take Down,fast,normal,1.0,5,8,3,1.67,2.67,Low Quality,
Bellibolt,Thunder Shock,fast,electric,1.2,4,9,2,2.0,4.5,Fast Charge,
Bellibolt,Water Gun,fast,water,1.0,3,3,1,3.0,3.0,General,
Bellossom,Acid,fast,poison,1.0,6,5,2,3.0,2.5,Low Quality,
Bellossom,Bullet Seed,fast,grass,1.2,5,13,3,1.67,4.33,Fast Charge,
Bellossom,Magical Leaf,fast,grass,1.2,10,10,3,3.33,3.33,General,
Bellossom,Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Bellossom (Shadow),Acid,fast,poison,1.0,6,5,2,3.0,2.5,Low Quality,
Bellossom (Shadow),Bullet Seed,fast,grass,1.2,5,13,3,1.67,4.33,Fast Charge,
Bellossom (Shadow),Magical Leaf,fast,grass,1.2,10,10,3,3.33,3.33,General,
Bellossom (Shadow),Razor Leaf,fast,grass,1.2,9,4,2,4.5,2.0,Heavy Damage,
Bellsprout,Acid,fast,poison,1.2,6,5,2,3.0,2.5,Low Quality,
Bellsprout,Vine Whip,fast,grass,1.2,5,8,2,2.5,4.0,Fast Charge,
Bellsprout (Shadow),Acid,fast,poison,1.2,6,5,2,3.0,2.5,Low Quality,
Bellsprout (Shadow),Vine Whip,fast,grass,1.2,5,8,2,2.5,4.0,Fast Charge,
Bergmite,Bite,fast,dark,1.0,4,2,1,4.0,2.0,Heavy Damage,
Bergmite,Tackle,fast,normal,1.0,3,3,1,3.0,3.0,General,
Bewear,Low Kick,fast,fighting,1.2,4,5,2,2.0,2.5,Low Quality,
Bewear,Shadow Claw,fast,ghost,1.0,6,8,2,3.0,4.0,Multipurpose,
Bewear,Tackle,fast,normal,1.2,3,3,1,3.0,3.0,General,
Bibarel,Rollout,fast,rock,1.0,8,13,3,2.67,4.33,Fast Charge,
Bibarel,Take Down,fast,normal,1.2,5,8,3,1.67,2.67,Low Quality,
Bibarel,Water Gun,fast,water,1.2,3,3,1,3.0,3.0,General,
Bibarel (Shadow),Rollout,fast,rock,1.0,8,13,3,2.67,4.33,Fast Charge,
Bibarel (Shadow),Take Down,fast,normal,1.2,5,8,3,1.67,2.67,Low Quality,
Bibarel (Shadow),Water Gun,fast,water,1.2,3,3,1,3.0,3.0,General,
Bidoof,Tackle,fast,normal,1.2,3,3,1,3.0,3.0,General,
Bidoof,Take Down,fast,normal,1.2,5,8,3,1.67,2.67,Low Quality,
