dex_parent,pokemon_id_parent,pokemon_parent,dex_child,pokemon_id_child,pokemon_child,is_self
25,pikachu_shaymin,Pikachu (Shaymin Scarf),25,pikachu_shaymin,Pikachu (Shaymin Scarf),True
26,raichu,Raichu,26,raichu,Raichu,True
26,raichu_alolan,Raichu (Alolan),26,raichu_alolan,Raichu (Alolan),True
27,sandshrew,Sandshrew,27,sandshrew,Sandshrew,True
27,sandshrew,Sandshrew,28,sandslash,Sandslash,False
27,sandshrew_alolan,Sandshrew (Alolan),27,sandshrew_alolan,Sandshrew (Alolan),True
27,sandshrew_alolan,Sandshrew (Alolan),28,sandslash_alolan,Sandslash (Alolan),False
27,sandshrew_alolan_shadow,Sandshrew (Alolan) (Shadow),27,sandshrew_alolan_shadow,Sandshrew (Alolan) (Shadow),True
27,sandshrew_alolan_shadow,Sandshrew (Alolan) (Shadow),28,sandslash_alolan_shadow,Sandslash (Alolan) (Shadow),False
27,sandshrew_shadow,Sandshrew (Shadow),27,sandshrew_shadow,Sandshrew (Shadow),True
27,sandshrew_shadow,Sandshrew (Shadow),28,sandslash_shadow,Sandslash (Shadow),False
28,sandslash,Sandslash,28,sandslash,Sandslash,True
28,sandslash_alolan,Sandslash (Alolan),28,sandslash_alolan,Sandslash (Alolan),True
28,sandslash_alolan_shadow,Sandslash (Alolan) (Shadow),28,sandslash_alolan_shadow,Sandslash (Alolan) (Shadow),True
28,sandslash_shadow,Sandslash (Shadow),28,sandslash_shadow,Sandslash (Shadow),True
29,nidoran_female,Nidoran Female,29,nidoran_female,Nidoran Female,True
29,nidoran_female,Nidoran Female,30,nidorina,Nidorina,False
29,nidoran_female,Nidoran Female,31,nidoqueen,Nidoqueen,False
29,nidoran_female_shadow,Nidoran Female (Shadow),29,nidoran_female_shadow,Nidoran Female (Shadow),True
29,nidoran_female_shadow,Nidoran Female (Shadow),30,nidorina_shadow,Nidorina (Shadow),False
29,nidoran_female_shadow,Nidoran Female (Shadow),31,nidoqueen_shadow,Nidoqueen (Shadow),False
30,nidorina,Nidorina,30,nidorina,Nidorina,True
30,nidorina,Nidorina,31,nidoqueen,Nidoqueen,False
30,nidorina_shadow,Nidorina (Shadow),30,nidorina_shadow,Nidorina (Shadow),True
30,nidorina_shadow,Nidorina (Shadow),31,nidoqueen_shadow,Nidoqueen (Shadow),False
31,nidoqueen,Nidoqueen,31,nidoqueen,Nidoqueen,True
31,nidoqueen_shadow,Nidoqueen (Shadow),31,nidoqueen_shadow,Nidoqueen (Shadow),True
32,nidoran_male,Nidoran Male,32,nidoran_male,Nidoran Male,True
32,nidoran_male,Nidoran Male,33,nidorino,Nidorino,False
32,nidoran_male,Nidoran Male,34,nidoking,Nidoking,False
32,nidoran_male_shadow,Nidoran Male (Shadow),32,nidoran_male_shadow,Nidoran Male (Shadow),True
32,nidoran_male_shadow,Nidoran Male (Shadow),33,nidorino_shadow,Nidorino (Shadow),False
32,nidoran_male_shadow,Nidoran Male (Shadow),34,nidoking_shadow,Nidoking (Shadow),False
33,nidorino,Nidorino,33,nidorino,Nidorino,True
33,nidorino,Nidorino,34,nidoking,Nidoking,False
33,nidorino_shadow,Nidorino (Shadow),33,nidorino_shadow,Nidorino (Shadow),True
33,nidorino_shadow,Nidorino (Shadow),34,nidoking_shadow,Nidoking (Shadow),False
34,nidoking,Nidoking,34,nidoking,Nidoking,True
34,nidoking_shadow,Nidoking (Shadow),34,nidoking_shadow,Nidoking (Shadow),True
35,clefairy,Clefairy,35,clefairy,Clefairy,True
35,clefairy,Clefairy,36,clefable,Clefable,False
36,clefable,Clefable,36,clefable,Clefable,True
37,vulpix,Vulpix,37,vulpix,Vulpix,True
37,vulpix,Vulpix,38,ninetales,Ninetales,False
37,vulpix_alolan,Vulpix (Alolan),37,vulpix_alolan,Vulpix (Alolan),True
37,vulpix_alolan,Vulpix (Alolan),38,ninetales_alolan,Ninetales (Alolan),False
37,vulpix_alolan_shadow,Vulpix (Alolan) (Shadow),37,vulpix_alolan_shadow,Vulpix (Alolan) (Shadow),True
37,vulpix_alolan_shadow,Vulpix (Alolan) (Shadow),38,ninetales_alolan_shadow,Ninetales (Alolan) (Shadow),False
37,vulpix_shadow,Vulpix (Shadow),37,vulpix_shadow,Vulpix (Shadow),True
37,vulpix_shadow,Vulpix (Shadow),38,ninetales_shadow,Ninetales (Shadow),False
38,ninetales,Ninetales,38,ninetales,Ninetales,True
38,ninetales_alolan,Ninetales (Alolan),38,ninetales_alolan,Ninetales (Alolan),True
38,ninetales_alolan_shadow,Ninetales (Alolan) (Shadow),38,ninetales_alolan_shadow,Ninetales (Alolan) (Shadow),True
38,ninetales_shadow,Ninetales (Shadow),38,ninetales_shadow,Ninetales (Shadow),True
39,jigglypuff,Jigglypuff,39,jigglypuff,Jigglypuff,True
39,jigglypuff,Jigglypuff,40,wigglytuff,Wigglytuff,False
40,wigglytuff,Wigglytuff,40,wigglytuff,Wigglytuff,True
41,zubat,Zubat,41,zubat,Zubat,True
41,zubat,Zubat,42,golbat,Golbat,False
41,zubat,Zubat,169,crobat,Crobat,False
41,zubat_shadow,Zubat (Shadow),41,zubat_shadow,Zubat (Shadow),True
41,zubat_shadow,Zubat (Shadow),42,golbat_shadow,Golbat (Shadow),False
41,zubat_shadow,Zubat (Shadow),169,crobat_shadow,Crobat (Shadow),False
42,golbat,Golbat,42,golbat,Golbat,True
42,golbat,Golbat,169,crobat,Crobat,False
42,golbat_shadow,Golbat (Shadow),42,golbat_shadow,Golbat (Shadow),True
42,golbat_shadow,Golbat (Shadow),169,crobat_shadow,Crobat (Shadow),False
43,oddish,Oddish,43,oddish,Oddish,True
43,oddish,Oddish,44,gloom,Gloom,False
43,oddish,Oddish,45,vileplume,Vileplume,False
43,oddish,Oddish,182,bellossom,Bellossom,False
43,oddish_shadow,Oddish (Shadow),43,oddish_shadow,Oddish (Shadow),True
43,oddish_shadow,Oddish (Shadow),44,gloom_shadow,Gloom (Shadow),False
43,oddish_shadow,Oddish (Shadow),45,vileplume_shadow,Vileplume (Shadow),False
43,oddish_shadow,Oddish (Shadow),182,bellossom_shadow,Bellossom (Shadow),False
44,gloom,Gloom,44,gloom,Gloom,True
44,gloom,Gloom,45,vileplume,Vileplume,False
44,gloom,Gloom,182,bellossom,Bellossom,False
44,gloom_shadow,Gloom (Shadow),44,gloom_shadow,Gloom (Shadow),True
44,gloom_shadow,Gloom (Shadow),45,vileplume_shadow,Vileplume (Shadow),False
44,gloom_shadow,Gloom (Shadow),182,bellossom_shadow,Bellossom (Shadow),False
45,vileplume,Vileplume,45,vileplume,Vileplume,True
45,vileplume_shadow,Vileplume (Shadow),45,vileplume_shadow,Vileplume (Shadow),True
46,paras,Paras,46,paras,Paras,True
46,paras,Paras,47,parasect,Parasect,False
47,parasect,Parasect,47,parasect,Parasect,True
48,venonat,Venonat,48,venonat,Venonat,True
48,venonat,Venonat,49,venomoth,Venomoth,False
48,venonat_shadow,Venonat (Shadow),48,venonat_shadow,Venonat (Shadow),True
48,venonat_shadow,Venonat (Shadow),49,venomoth_shadow,Venomoth (Shadow),False
49,venomoth,Venomoth,49,venomoth,Venomoth,True
49,venomoth_shadow,Venomoth (Shadow),49,venomoth_shadow,Venomoth (Shadow),True
50,diglett,Diglett,50,diglett,Diglett,True
50,diglett,Diglett,51,dugtrio,Dugtrio,False
50,diglett_alolan,Diglett (Alolan),50,diglett_alolan,Diglett (Alolan),True
50,diglett_alolan,Diglett (Alolan),51,dugtrio_alolan,Dugtrio (Alolan),False
50,diglett_alolan_shadow,Diglett (Alolan) (Shadow),50,diglett_alolan_shadow,Diglett (Alolan) (Shadow),True
50,diglett_alolan_shadow,Diglett (Alolan) (Shadow),51,dugtrio_alolan_shadow,Dugtrio (Alolan) (Shadow),False
50,diglett_shadow,Diglett (Shadow),50,diglett_shadow,Diglett (Shadow),True
50,diglett_shadow,Diglett (Shadow),51,dugtrio_shadow,Dugtrio (Shadow),False
51,dugtrio,Dugtrio,51,dugtrio,Dugtrio,True
51,dugtrio_alolan,Dugtrio (Alolan),51,dugtrio_alolan,Dugtrio (Alolan),True
51,dugtrio_alolan_shadow,Dugtrio (Alolan) (Shadow),51,dugtrio_alolan_shadow,Dugtrio (Alolan) (Shadow),True
51,dugtrio_shadow,Dugtrio (Shadow),51,dugtrio_shadow,Dugtrio (Shadow),True
52,meowth,Meowth,52,meowth,Meowth,True
52,meowth,Meowth,53,persian,Persian,False
52,meowth_alolan,Meowth (Alolan),52,meowth_alolan,Meowth (Alolan),True
52,meowth_alolan,Meowth (Alolan),53,persian_alolan,Persian (Alolan),False
52,meowth_galarian,Meowth (Galarian),52,meowth_galarian,Meowth (Galarian),True
52,meowth_galarian,Meowth (Galarian),863,perrserker,Perrserker,False
52,meowth_shadow,Meowth (Shadow),52,meowth_shadow,Meowth (Shadow),True
52,meowth_shadow,Meowth (Shadow),53,persian_shadow,Persian (Shadow),False
53,persian,Persian,53,persian,Persian,True
53,persian_alolan,Persian (Alolan),53,persian_alolan,Persian (Alolan),True
53,persian_shadow,Persian (Shadow),53,persian_shadow,Persian (Shadow),True
54,psyduck,Psyduck,54,psyduck,Psyduck,True
54,psyduck,Psyduck,55,golduck,Golduck,False
54,psyduck_shadow,Psyduck (Shadow),54,psyduck_shadow,Psyduck (Shadow),True
54,psyduck_shadow,Psyduck (Shadow),55,golduck_shadow,Golduck (Shadow),False
55,golduck,Golduck,55,golduck,Golduck,True
55,golduck_shadow,Golduck (Shadow),55,golduck_shadow,Golduck (Shadow),True
56,mankey,Mankey,56,mankey,Mankey,True
56,mankey,Mankey,57,primeape,Primeape,False
56,mankey,Mankey,979,annihilape,Annihilape,False
56,mankey_shadow,Mankey (Shadow),56,mankey_shadow,Mankey (Shadow),True
56,mankey_shadow,Mankey (Shadow),57,primeape_shadow,Primeape (Shadow),False
56,mankey_shadow,Mankey (Shadow),979,annihilape_shadow,Annihilape (Shadow),False
57,primeape,Primeape,57,primeape,Primeape,True
57,primeape,Primeape,979,annihilape,Annihilape,False
57,primeape_shadow,Primeape (Shadow),57,primeape_shadow,Primeape (Shadow),True
57,primeape_shadow,Primeape (Shadow),979,annihilape_shadow,Annihilape (Shadow),False
58,growlithe,Growlithe,58,growlithe,Growlithe,True
58,growlithe,Growlithe,59,arcanine,Arcanine,False
58,growlithe_hisuian,Growlithe (Hisuian),58,growlithe_hisuian,Growlithe (Hisuian),True
58,growlithe_hisuian,Growlithe (Hisuian),59,arcanine_hisuian,Arcanine (Hisuian),False
58,growlithe_shadow,Growlithe (Shadow),58,growlithe_shadow,Growlithe (Shadow),True
58,growlithe_shadow,Growlithe (Shadow),59,arcanine_shadow,Arcanine (Shadow),False
59,arcanine,Arcanine,59,arcanine,Arcanine,True
59,arcanine_hisuian,Arcanine (Hisuian),59,arcanine_hisuian,Arcanine (Hisuian),True
59,arcanine_shadow,Arcanine (Shadow),59,arcanine_shadow,Arcanine (Shadow),True
60,poliwag,Poliwag,60,poliwag,Poliwag,True
60,poliwag,Poliwag,61,poliwhirl,Poliwhirl,False
60,poliwag,Poliwag,62,poliwrath,Poliwrath,False
60,poliwag,Poliwag,186,politoed,Politoed,False
60,poliwag_shadow,Poliwag (Shadow),60,poliwag_shadow,Poliwag (Shadow),True
60,poliwag_shadow,Poliwag (Shadow),61,poliwhirl_shadow,Poliwhirl (Shadow),False
60,poliwag_shadow,Poliwag (Shadow),62,poliwrath_shadow,Poliwrath (Shadow),False
60,poliwag_shadow,Poliwag (Shadow),186,politoed_shadow,Politoed (Shadow),False
61,poliwhirl,Poliwhirl,61,poliwhirl,Poliwhirl,True
61,poliwhirl,Poliwhirl,62,poliwrath,Poliwrath,False
61,poliwhirl,Poliwhirl,186,politoed,Politoed,False
61,poliwhirl_shadow,Poliwhirl (Shadow),61,poliwhirl_shadow,Poliwhirl (Shadow),True
61,poliwhirl_shadow,Poliwhirl (Shadow),62,poliwrath_shadow,Poliwrath (Shadow),False
61,poliwhirl_shadow,Poliwhirl (Shadow),186,politoed_shadow,Politoed (Shadow),False
62,poliwrath,Poliwrath,62,poliwrath,Poliwrath,True
62,poliwrath_shadow,Poliwrath (Shadow),62,poliwrath_shadow,Poliwrath (Shadow),True
63,abra,Abra,63,abra,Abra,True
63,abra,Abra,64,kadabra,Kadabra,False
63,abra,Abra,65,alakazam,Alakazam,False
63,abra_shadow,Abra (Shadow),63,abra_shadow,Abra (Shadow),True
63,abra_shadow,Abra (Shadow),64,kadabra_shadow,Kadabra (Shadow),False
63,abra_shadow,Abra (Shadow),65,alakazam_shadow,Alakazam (Shadow),False
64,kadabra,Kadabra,64,kadabra,Kadabra,True
64,kadabra,Kadabra,65,alakazam,Alakazam,False
64,kadabra_shadow,Kadabra (Shadow),64,kadabra_shadow,Kadabra (Shadow),True
64,kadabra_shadow,Kadabra (Shadow),65,alakazam_shadow,Alakazam (Shadow),False
65,alakazam,Alakazam,65,alakazam,Alakazam,True
65,alakazam,Alakazam,65,alakazam_mega,Alakazam (Mega),False
65,alakazam_mega,Alakazam (Mega),65,alakazam_mega,Alakazam (Mega),True
65,alakazam_shadow,Alakazam (Shadow),65,alakazam_shadow,Alakazam (Shadow),True
66,machop,Machop,66,machop,Machop,True
66,machop,Machop,67,machoke,Machoke,False
66,machop,Machop,68,machamp,Machamp,False
66,machop_shadow,Machop (Shadow),66,machop_shadow,Machop (Shadow),True
66,machop_shadow,Machop (Shadow),67,machoke_shadow,Machoke (Shadow),False
66,machop_shadow,Machop (Shadow),68,machamp_shadow,Machamp (Shadow),False
67,machoke,Machoke,67,machoke,Machoke,True
67,machoke,Machoke,68,machamp,Machamp,False
67,machoke_shadow,Machoke (Shadow),67,machoke_shadow,Machoke (Shadow),True
67,machoke_shadow,Machoke (Shadow),68,machamp_shadow,Machamp (Shadow),False
68,machamp,Machamp,68,machamp,Machamp,True
68,machamp_shadow,Machamp (Shadow),68,machamp_shadow,Machamp (Shadow),True
69,bellsprout,Bellsprout,69,bellsprout,Bellsprout,True
69,bellsprout,Bellsprout,70,weepinbell,Weepinbell,False
69,bellsprout,Bellsprout,71,victreebel,Victreebel,False
69,bellsprout_shadow,Bellsprout (Shadow),69,bellsprout_shadow,Bellsprout (Shadow),True
69,bellsprout_shadow,Bellsprout (Shadow),70,weepinbell_shadow,Weepinbell (Shadow),False
69,bellsprout_shadow,Bellsprout (Shadow),71,victreebel_shadow,Victreebel (Shadow),False
70,weepinbell,Weepinbell,70,weepinbell,Weepinbell,True
70,weepinbell,Weepinbell,71,victreebel,Victreebel,False
70,weepinbell_shadow,Weepinbell (Shadow),70,weepinbell_shadow,Weepinbell (Shadow),True
70,weepinbell_shadow,Weepinbell (Shadow),71,victreebel_shadow,Victreebel (Shadow),False
71,victreebel,Victreebel,71,victreebel,Victreebel,True
71,victreebel_shadow,Victreebel (Shadow),71,victreebel_shadow,Victreebel (Shadow),True
72,tentacool,Tentacool,72,tentacool,Tentacool,True
72,tentacool,Tentacool,73,tentacruel,Tentacruel,False
72,tentacool_shadow,Tentacool (Shadow),72,tentacool_shadow,Tentacool (Shadow),True
72,tentacool_shadow,Tentacool (Shadow),73,tentacruel_shadow,Tentacruel (Shadow),False
73,tentacruel,Tentacruel,73,tentacruel,Tentacruel,True
73,tentacruel_shadow,Tentacruel (Shadow),73,tentacruel_shadow,Tentacruel (Shadow),True
74,geodude,Geodude,74,geodude,Geodude,True
74,geodude,Geodude,75,graveler,Graveler,False
74,geodude,Geodude,76,golem,Golem,False
74,geodude_alolan,Geodude (Alolan),74,geodude_alolan,Geodude (Alolan),True
74,geodude_alolan,Geodude (Alolan),75,graveler_alolan,Graveler (Alolan),False
74,geodude_alolan,Geodude (Alolan),76,golem_alolan,Golem (Alolan),False
74,geodude_alolan_shadow,Geodude (Alolan) (Shadow),74,geodude_alolan_shadow,Geodude (Alolan) (Shadow),True
74,geodude_alolan_shadow,Geodude (Alolan) (Shadow),75,graveler_alolan_shadow,Graveler (Alolan) (Shadow),False
74,geodude_alolan_shadow,Geodude (Alolan) (Shadow),76,golem_alolan_shadow,Golem (Alolan) (Shadow),False
74,geodude_shadow,Geodude (Shadow),74,geodude_shadow,Geodude (Shadow),True
74,geodude_shadow,Geodude (Shadow),75,graveler_shadow,Graveler (Shadow),False
74,geodude_shadow,Geodude (Shadow),76,golem_shadow,Golem (Shadow),False
75,graveler,Graveler,75,graveler,Graveler,True
75,graveler,Graveler,76,golem,Golem,False
75,graveler_alolan,Graveler (Alolan),75,graveler_alolan,Graveler (Alolan),True
75,graveler_alolan,Graveler (Alolan),76,golem_alolan,Golem (Alolan),False
75,graveler_alolan_shadow,Graveler (Alolan) (Shadow),75,graveler_alolan_shadow,Graveler (Alolan) (Shadow),True
75,graveler_alolan_shadow,Graveler (Alolan) (Shadow),76,golem_alolan_shadow,Golem (Alolan) (Shadow),False
75,graveler_shadow,Graveler (Shadow),75,graveler_shadow,Graveler (Shadow),True
75,graveler_shadow,Graveler (Shadow),76,golem_shadow,Golem (Shadow),False
76,golem,Golem,76,golem,Golem,True
76,golem_alolan,Golem (Alolan),76,golem_alolan,Golem (Alolan),True
76,golem_alolan_shadow,Golem (Alolan) (Shadow),76,golem_alolan_shadow,Golem (Alolan) (Shadow),True
76,golem_shadow,Golem (Shadow),76,golem_shadow,Golem (Shadow),True
77,ponyta,Ponyta,77,ponyta,Ponyta,True
77,ponyta,Ponyta,78,rapidash,Rapidash,False
77,ponyta_galarian,Ponyta (Galarian),77,ponyta_galarian,Ponyta (Galarian),True
77,ponyta_galarian,Ponyta (Galarian),78,rapidash_galarian,Rapidash (Galarian),False
78,rapidash,Rapidash,78,rapidash,Rapidash,True
78,rapidash_galarian,Rapidash (Galarian),78,rapidash_galarian,Rapidash (Galarian),True
79,slowpoke,Slowpoke,79,slowpoke,Slowpoke,True
79,slowpoke,Slowpoke,80,slowbro,Slowbro,False
79,slowpoke,Slowpoke,199,slowking,Slowking,False
79,slowpoke_galarian,Slowpoke (Galarian),79,slowpoke_galarian,Slowpoke (Galarian),True
