pokemon,attacking_type,multiplier
Charmander (Shadow),flying,1.0
Charmander (Shadow),poison,1.0
Charmander (Shadow),ground,1.6
Charmander (Shadow),rock,1.6
Charmander (Shadow),bug,0.625
Charmander (Shadow),ghost,1.0
Charmander (Shadow),steel,0.625
Charmander (Shadow),fire,0.625
Charmander (Shadow),water,1.6
Charmander (Shadow),grass,0.625
Charmander (Shadow),electric,1.0
Charmander (Shadow),psychic,1.0
Charmander (Shadow),ice,0.625
Charmander (Shadow),dragon,1.0
Charmander (Shadow),dark,1.0
Charmander (Shadow),fairy,0.625
Charmeleon,normal,1.0
Charmeleon,fighting,1.0
Charmeleon,flying,1.0
Charmeleon,poison,1.0
Charmeleon,ground,1.6
Charmeleon,rock,1.6
Charmeleon,bug,0.625
Charmeleon,ghost,1.0
Charmeleon,steel,0.625
Charmeleon,fire,0.625
Charmeleon,water,1.6
Charmeleon,grass,0.625
Charmeleon,electric,1.0
Charmeleon,psychic,1.0
Charmeleon,ice,0.625
Charmeleon,dragon,1.0
Charmeleon,dark,1.0
Charmeleon,fairy,0.625
Charmeleon (Shadow),normal,1.0
Charmeleon (Shadow),fighting,1.0
Charmeleon (Shadow),flying,1.0
Charmeleon (Shadow),poison,1.0
Charmeleon (Shadow),ground,1.6
Charmeleon (Shadow),rock,1.6
Charmeleon (Shadow),bug,0.625
Charmeleon (Shadow),ghost,1.0
Charmeleon (Shadow),steel,0.625
Charmeleon (Shadow),fire,0.625
Charmeleon (Shadow),water,1.6
Charmeleon (Shadow),grass,0.625
Charmeleon (Shadow),electric,1.0
Charmeleon (Shadow),psychic,1.0
Charmeleon (Shadow),ice,0.625
Charmeleon (Shadow),dragon,1.0
Charmeleon (Shadow),dark,1.0
Charmeleon (Shadow),fairy,0.625
Charizard,normal,1.0
Charizard,fighting,0.625
Charizard,flying,1.0
Charizard,poison,1.0
Charizard,ground,0.625
Charizard,rock,2.56
Charizard,bug,0.625
Charizard,ghost,1.0
Charizard,steel,0.625
Charizard,fire,0.625
Charizard,water,1.6
Charizard,grass,0.391
Charizard,electric,1.6
Charizard,psychic,1.0
Charizard,ice,1.0
Charizard,dragon,1.0
Charizard,dark,1.0
Charizard,fairy,0.625
Charizard (Mega X),normal,1.0
Charizard (Mega X),fighting,1.0
Charizard (Mega X),flying,1.0
Charizard (Mega X),poison,1.0
Charizard (Mega X),ground,1.6
Charizard (Mega X),rock,1.6
Charizard (Mega X),bug,0.625
Charizard (Mega X),ghost,1.0
Charizard (Mega X),steel,0.625
Charizard (Mega X),fire,0.391
Charizard (Mega X),water,1.0
Charizard (Mega X),grass,0.391
Charizard (Mega X),electric,0.625
Charizard (Mega X),psychic,1.0
Charizard (Mega X),ice,1.0
Charizard (Mega X),dragon,1.6
Charizard (Mega X),dark,1.0
Charizard (Mega X),fairy,1.0
Charizard (Mega Y),normal,1.0
Charizard (Mega Y),fighting,0.625
Charizard (Mega Y),flying,1.0
Charizard (Mega Y),poison,1.0
Charizard (Mega Y),ground,0.625
Charizard (Mega Y),rock,2.56
Charizard (Mega Y),bug,0.625
Charizard (Mega Y),ghost,1.0
Charizard (Mega Y),steel,0.625
Charizard (Mega Y),fire,0.625
Charizard (Mega Y),water,1.6
Charizard (Mega Y),grass,0.391
Charizard (Mega Y),electric,1.6
Charizard (Mega Y),psychic,1.0
Charizard (Mega Y),ice,1.0
Charizard (Mega Y),dragon,1.0
Charizard (Mega Y),dark,1.0
Charizard (Mega Y),fairy,0.625
Charizard (Shadow),normal,1.0
Charizard (Shadow),fighting,0.625
Charizard (Shadow),flying,1.0
Charizard (Shadow),poison,1.0
Charizard (Shadow),ground,0.625
Charizard (Shadow),rock,2.56
Charizard (Shadow),bug,0.625
Charizard (Shadow),ghost,1.0
Charizard (Shadow),steel,0.625
Charizard (Shadow),fire,0.625
Charizard (Shadow),water,1.6
Charizard (Shadow),grass,0.391
Charizard (Shadow),electric,1.6
Charizard (Shadow),psychic,1.0
Charizard (Shadow),ice,1.0
Charizard (Shadow),dragon,1.0
Charizard (Shadow),dark,1.0
Charizard (Shadow),fairy,0.625
Squirtle,normal,1.0
Squirtle,fighting,1.0
Squirtle,flying,1.0
Squirtle,poison,1.0
Squirtle,ground,1.0
Squirtle,rock,1.0
Squirtle,bug,1.0
Squirtle,ghost,1.0
Squirtle,steel,0.625
Squirtle,fire,0.625
Squirtle,water,0.625
Squirtle,grass,1.6
Squirtle,electric,1.6
Squirtle,psychic,1.0
Squirtle,ice,0.625
Squirtle,dragon,1.0
Squirtle,dark,1.0
Squirtle,fairy,1.0
Squirtle (Shadow),normal,1.0
Squirtle (Shadow),fighting,1.0
Squirtle (Shadow),flying,1.0
Squirtle (Shadow),poison,1.0
Squirtle (Shadow),ground,1.0
Squirtle (Shadow),rock,1.0
Squirtle (Shadow),bug,1.0
Squirtle (Shadow),ghost,1.0
Squirtle (Shadow),steel,0.625
Squirtle (Shadow),fire,0.625
Squirtle (Shadow),water,0.625
Squirtle (Shadow),grass,1.6
Squirtle (Shadow),electric,1.6
Squirtle (Shadow),psychic,1.0
Squirtle (Shadow),ice,0.625
Squirtle (Shadow),dragon,1.0
Squirtle (Shadow),dark,1.0
Squirtle (Shadow),fairy,1.0
Wartortle,normal,1.0
Wartortle,fighting,1.0
Wartortle,flying,1.0
Wartortle,poison,1.0
Wartortle,ground,1.0
Wartortle,rock,1.0
Wartortle,bug,1.0
Wartortle,ghost,1.0
Wartortle,steel,0.625
Wartortle,fire,0.625
Wartortle,water,0.625
Wartortle,grass,1.6
Wartortle,electric,1.6
Wartortle,psychic,1.0
Wartortle,ice,0.625
Wartortle,dragon,1.0
Wartortle,dark,1.0
Wartortle,fairy,1.0
Wartortle (Shadow),normal,1.0
Wartortle (Shadow),fighting,1.0
Wartortle (Shadow),flying,1.0
Wartortle (Shadow),poison,1.0
Wartortle (Shadow),ground,1.0
Wartortle (Shadow),rock,1.0
Wartortle (Shadow),bug,1.0
Wartortle (Shadow),ghost,1.0
Wartortle (Shadow),steel,0.625
Wartortle (Shadow),fire,0.625
Wartortle (Shadow),water,0.625
Wartortle (Shadow),grass,1.6
Wartortle (Shadow),electric,1.6
Wartortle (Shadow),psychic,1.0
Wartortle (Shadow),ice,0.625
Wartortle (Shadow),dragon,1.0
Wartortle (Shadow),dark,1.0
Wartortle (Shadow),fairy,1.0
Blastoise,normal,1.0
Blastoise,fighting,1.0
Blastoise,flying,1.0
Blastoise,poison,1.0
Blastoise,ground,1.0
Blastoise,rock,1.0
Blastoise,bug,1.0
Blastoise,ghost,1.0
Blastoise,steel,0.625
Blastoise,fire,0.625
Blastoise,water,0.625
Blastoise,grass,1.6
Blastoise,electric,1.6
Blastoise,psychic,1.0
Blastoise,ice,0.625
Blastoise,dragon,1.0
Blastoise,dark,1.0
Blastoise,fairy,1.0
Blastoise (Mega),normal,1.0
Blastoise (Mega),fighting,1.0
Blastoise (Mega),flying,1.0
Blastoise (Mega),poison,1.0
Blastoise (Mega),ground,1.0
Blastoise (Mega),rock,1.0
Blastoise (Mega),bug,1.0
Blastoise (Mega),ghost,1.0
Blastoise (Mega),steel,0.625
Blastoise (Mega),fire,0.625
Blastoise (Mega),water,0.625
Blastoise (Mega),grass,1.6
Blastoise (Mega),electric,1.6
Blastoise (Mega),psychic,1.0
Blastoise (Mega),ice,0.625
Blastoise (Mega),dragon,1.0
Blastoise (Mega),dark,1.0
Blastoise (Mega),fairy,1.0
Blastoise (Shadow),normal,1.0
Blastoise (Shadow),fighting,1.0
Blastoise (Shadow),flying,1.0
Blastoise (Shadow),poison,1.0
Blastoise (Shadow),ground,1.0
Blastoise (Shadow),rock,1.0
Blastoise (Shadow),bug,1.0
Blastoise (Shadow),ghost,1.0
Blastoise (Shadow),steel,0.625
Blastoise (Shadow),fire,0.625
Blastoise (Shadow),water,0.625
Blastoise (Shadow),grass,1.6
Blastoise (Shadow),electric,1.6
Blastoise (Shadow),psychic,1.0
Blastoise (Shadow),ice,0.625
Blastoise (Shadow),dragon,1.0
Blastoise (Shadow),dark,1.0
Blastoise (Shadow),fairy,1.0
Caterpie,normal,1.0
Caterpie,fighting,0.625
Caterpie,flying,1.6
Caterpie,poison,1.0
Caterpie,ground,0.625
Caterpie,rock,1.6
Caterpie,bug,1.0
Caterpie,ghost,1.0
Caterpie,steel,1.0
Caterpie,fire,1.6
Caterpie,water,1.0
Caterpie,grass,0.625
Caterpie,electric,1.0
Caterpie,psychic,1.0
Caterpie,ice,1.0
Caterpie,dragon,1.0
Caterpie,dark,1.0
Caterpie,fairy,1.0
Caterpie (Shadow),normal,1.0
Caterpie (Shadow),fighting,0.625
Caterpie (Shadow),flying,1.6
Caterpie (Shadow),poison,1.0
Caterpie (Shadow),ground,0.625
Caterpie (Shadow),rock,1.6
Caterpie (Shadow),bug,1.0
Caterpie (Shadow),ghost,1.0
Caterpie (Shadow),steel,1.0
Caterpie (Shadow),fire,1.6
Caterpie (Shadow),water,1.0
Caterpie (Shadow),grass,0.625
Caterpie (Shadow),electric,1.0
Caterpie (Shadow),psychic,1.0
Caterpie (Shadow),ice,1.0
Caterpie (Shadow),dragon,1.0
Caterpie (Shadow),dark,1.0
Caterpie (Shadow),fairy,1.0
Metapod,normal,1.0
Metapod,fighting,0.625
Metapod,flying,1.6
Metapod,poison,1.0
Metapod,ground,0.625
Metapod,rock,1.6
Metapod,bug,1.0
Metapod,ghost,1.0
Metapod,steel,1.0
Metapod,fire,1.6
Metapod,water,1.0
Metapod,grass,0.625
Metapod,electric,1.0
Metapod,psychic,1.0
Metapod,ice,1.0
Metapod,dragon,1.0
Metapod,dark,1.0
Metapod,fairy,1.0
Metapod (Shadow),normal,1.0
Metapod (Shadow),fighting,0.625
Metapod (Shadow),flying,1.6
Metapod (Shadow),poison,1.0
Metapod (Shadow),ground,0.625
Metapod (Shadow),rock,1.6
Metapod (Shadow),bug,1.0
Metapod (Shadow),ghost,1.0
Metapod (Shadow),steel,1.0
Metapod (Shadow),fire,1.6
Metapod (Shadow),water,1.0
Metapod (Shadow),grass,0.625
Metapod (Shadow),electric,1.0
Metapod (Shadow),psychic,1.0
Metapod (Shadow),ice,1.0
Metapod (Shadow),dragon,1.0
Metapod (Shadow),dark,1.0
Metapod (Shadow),fairy,1.0
Butterfree,normal,1.0
Butterfree,fighting,0.391
Butterfree,flying,1.6
Butterfree,poison,1.0
Butterfree,ground,0.244
Butterfree,rock,2.56
Butterfree,bug,1.0
Butterfree,ghost,1.0
Butterfree,steel,1.0
Butterfree,fire,1.6
Butterfree,water,1.0
Butterfree,grass,0.391
Butterfree,electric,1.6
Butterfree,psychic,1.0
Butterfree,ice,1.6
Butterfree,dragon,1.0
Butterfree,dark,1.0
Butterfree,fairy,1.0
Butterfree (Shadow),normal,1.0
Butterfree (Shadow),fighting,0.391
Butterfree (Shadow),flying,1.6
Butterfree (Shadow),poison,1.0
Butterfree (Shadow),ground,0.244
Butterfree (Shadow),rock,2.56
Butterfree (Shadow),bug,1.0
Butterfree (Shadow),ghost,1.0
Butterfree (Shadow),steel,1.0
Butterfree (Shadow),fire,1.6
Butterfree (Shadow),water,1.0
Butterfree (Shadow),grass,0.391
Butterfree (Shadow),electric,1.6
Butterfree (Shadow),psychic,1.0
Butterfree (Shadow),ice,1.6
Butterfree (Shadow),dragon,1.0
Butterfree (Shadow),dark,1.0
Butterfree (Shadow),fairy,1.0
Weedle,normal,1.0
Weedle,fighting,0.391
Weedle,flying,1.6
Weedle,poison,0.625
Weedle,ground,1.0
Weedle,rock,1.6
Weedle,bug,0.625
Weedle,ghost,1.0
Weedle,steel,1.0
Weedle,fire,1.6
Weedle,water,1.0
Weedle,grass,0.391
Weedle,electric,1.0
Weedle,psychic,1.6
Weedle,ice,1.0
Weedle,dragon,1.0
Weedle,dark,1.0
Weedle,fairy,0.625
Weedle (Shadow),normal,1.0
Weedle (Shadow),fighting,0.391
Weedle (Shadow),flying,1.6
Weedle (Shadow),poison,0.625
Weedle (Shadow),ground,1.0
Weedle (Shadow),rock,1.6
Weedle (Shadow),bug,0.625
Weedle (Shadow),ghost,1.0
Weedle (Shadow),steel,1.0
Weedle (Shadow),fire,1.6
Weedle (Shadow),water,1.0
Weedle (Shadow),grass,0.391
Weedle (Shadow),electric,1.0
Weedle (Shadow),psychic,1.6
Weedle (Shadow),ice,1.0
Weedle (Shadow),dragon,1.0
Weedle (Shadow),dark,1.0
Weedle (Shadow),fairy,0.625
Kakuna,normal,1.0
Kakuna,fighting,0.391
Kakuna,flying,1.6
Kakuna,poison,0.625
Kakuna,ground,1.0
Kakuna,rock,1.6
Kakuna,bug,0.625
Kakuna,ghost,1.0
Kakuna,steel,1.0
Kakuna,fire,1.6
Kakuna,water,1.0
Kakuna,grass,0.391
Kakuna,electric,1.0
Kakuna,psychic,1.6
Kakuna,ice,1.0
Kakuna,dragon,1.0
Kakuna,dark,1.0
Kakuna,fairy,0.625
Kakuna (Shadow),normal,1.0
Kakuna (Shadow),fighting,0.391
Kakuna (Shadow),flying,1.6
Kakuna (Shadow),poison,0.625
Kakuna (Shadow),ground,1.0
Kakuna (Shadow),rock,1.6
Kakuna (Shadow),bug,0.625
Kakuna (Shadow),ghost,1.0
Kakuna (Shadow),steel,1.0
Kakuna (Shadow),fire,1.6
Kakuna (Shadow),water,1.0
Kakuna (Shadow),grass,0.391
Kakuna (Shadow),electric,1.0
Kakuna (Shadow),psychic,1.6
Kakuna (Shadow),ice,1.0
Kakuna (Shadow),dragon,1.0
Kakuna (Shadow),dark,1.0
Kakuna (Shadow),fairy,0.625
Beedrill,normal,1.0
Beedrill,fighting,0.391
Beedrill,flying,1.6
Beedrill,poison,0.625
Beedrill,ground,1.0
Beedrill,rock,1.6
Beedrill,bug,0.625
Beedrill,ghost,1.0
Beedrill,steel,1.0
Beedrill,fire,1.6
Beedrill,water,1.0
Beedrill,grass,0.391
Beedrill,electric,1.0
Beedrill,psychic,1.6
Beedrill,ice,1.0
Beedrill,dragon,1.0
Beedrill,dark,1.0
Beedrill,fairy,0.625
Beedrill (Mega),normal,1.0
Beedrill (Mega),fighting,0.391
Beedrill (Mega),flying,1.6
Beedrill (Mega),poison,0.625
Beedrill (Mega),ground,1.0
Beedrill (Mega),rock,1.6
Beedrill (Mega),bug,0.625
Beedrill (Mega),ghost,1.0
Beedrill (Mega),steel,1.0
Beedrill (Mega),fire,1.6
Beedrill (Mega),water,1.0
Beedrill (Mega),grass,0.391
Beedrill (Mega),electric,1.0
Beedrill (Mega),psychic,1.6
Beedrill (Mega),ice,1.0
Beedrill (Mega),dragon,1.0
Beedrill (Mega),dark,1.0
Beedrill (Mega),fairy,0.625
Beedrill (Shadow),normal,1.0
Beedrill (Shadow),fighting,0.391
Beedrill (Shadow),flying,1.6
Beedrill (Shadow),poison,0.625
Beedrill (Shadow),ground,1.0
Beedrill (Shadow),rock,1.6
Beedrill (Shadow),bug,0.625
Beedrill (Shadow),ghost,1.0
Beedrill (Shadow),steel,1.0
Beedrill (Shadow),fire,1.6
Beedrill (Shadow),water,1.0
Beedrill (Shadow),grass,0.391
Beedrill (Shadow),electric,1.0
Beedrill (Shadow),psychic,1.6
Beedrill (Shadow),ice,1.0
Beedrill (Shadow),dragon,1.0
Beedrill (Shadow),dark,1.0
Beedrill (Shadow),fairy,0.625
Pidgey,normal,1.0
Pidgey,fighting,1.0
Pidgey,flying,1.0
Pidgey,poison,1.0
Pidgey,ground,0.391
Pidgey,rock,1.6
Pidgey,bug,1.0
Pidgey,ghost,0.391
Pidgey,steel,1.0
Pidgey,fire,1.0
Pidgey,water,1.0
Pidgey,grass,0.625
Pidgey,electric,1.6
Pidgey,psychic,1.0
Pidgey,ice,1.6
Pidgey,dragon,1.0
Pidgey,dark,1.0
Pidgey,fairy,1.0
Pidgey (Shadow),normal,1.0
Pidgey (Shadow),fighting,1.0
Pidgey (Shadow),flying,1.0
Pidgey (Shadow),poison,1.0
Pidgey (Shadow),ground,0.391
Pidgey (Shadow),rock,1.6
Pidgey (Shadow),bug,1.0
Pidgey (Shadow),ghost,0.391
Pidgey (Shadow),steel,1.0
Pidgey (Shadow),fire,1.0
Pidgey (Shadow),water,1.0
Pidgey (Shadow),grass,0.625
Pidgey (Shadow),electric,1.6
Pidgey (Shadow),psychic,1.0
Pidgey (Shadow),ice,1.6
Pidgey (Shadow),dragon,1.0
Pidgey (Shadow),dark,1.0
Pidgey (Shadow),fairy,1.0
Pidgeotto,normal,1.0
Pidgeotto,fighting,1.0
Pidgeotto,flying,1.0
Pidgeotto,poison,1.0
Pidgeotto,ground,0.391
Pidgeotto,rock,1.6
Pidgeotto,bug,1.0
Pidgeotto,ghost,0.391
Pidgeotto,steel,1.0
Pidgeotto,fire,1.0
Pidgeotto,water,1.0
Pidgeotto,grass,0.625
Pidgeotto,electric,1.6
Pidgeotto,psychic,1.0
Pidgeotto,ice,1.6
Pidgeotto,dragon,1.0
Pidgeotto,dark,1.0
Pidgeotto,fairy,1.0
Pidgeotto (Shadow),normal,1.0
Pidgeotto (Shadow),fighting,1.0
Pidgeotto (Shadow),flying,1.0
Pidgeotto (Shadow),poison,1.0
Pidgeotto (Shadow),ground,0.391
Pidgeotto (Shadow),rock,1.6
Pidgeotto (Shadow),bug,1.0
Pidgeotto (Shadow),ghost,0.391
Pidgeotto (Shadow),steel,1.0
Pidgeotto (Shadow),fire,1.0
Pidgeotto (Shadow),water,1.0
Pidgeotto (Shadow),grass,0.625
Pidgeotto (Shadow),electric,1.6
Pidgeotto (Shadow),psychic,1.0
Pidgeotto (Shadow),ice,1.6
Pidgeotto (Shadow),dragon,1.0
Pidgeotto (Shadow),dark,1.0
Pidgeotto (Shadow),fairy,1.0
Pidgeot,normal,1.0
Pidgeot,fighting,1.0
Pidgeot,flying,1.0
Pidgeot,poison,1.0
Pidgeot,ground,0.391
Pidgeot,rock,1.6
Pidgeot,bug,1.0
Pidgeot,ghost,0.391
Pidgeot,steel,1.0
Pidgeot,fire,1.0
Pidgeot,water,1.0
Pidgeot,grass,0.625
Pidgeot,electric,1.6
Pidgeot,psychic,1.0
Pidgeot,ice,1.6
Pidgeot,dragon,1.0
Pidgeot,dark,1.0
Pidgeot,fairy,1.0
Pidgeot (Mega),normal,1.0
Pidgeot (Mega),fighting,1.0
Pidgeot (Mega),flying,1.0
Pidgeot (Mega),poison,1.0
Pidgeot (Mega),ground,0.391
Pidgeot (Mega),rock,1.6
Pidgeot (Mega),bug,1.0
Pidgeot (Mega),ghost,0.391
Pidgeot (Mega),steel,1.0
Pidgeot (Mega),fire,1.0
Pidgeot (Mega),water,1.0
Pidgeot (Mega),grass,0.625
Pidgeot (Mega),electric,1.6
Pidgeot (Mega),psychic,1.0
Pidgeot (Mega),ice,1.6
Pidgeot (Mega),dragon,1.0
Pidgeot (Mega),dark,1.0
Pidgeot (Mega),fairy,1.0
Pidgeot (Shadow),normal,1.0
Pidgeot (Shadow),fighting,1.0
Pidgeot (Shadow),flying,1.0
Pidgeot (Shadow),poison,1.0
Pidgeot (Shadow),ground,0.391
Pidgeot (Shadow),rock,1.6
Pidgeot (Shadow),bug,1.0
Pidgeot (Shadow),ghost,0.391
Pidgeot (Shadow),steel,1.0
Pidgeot (Shadow),fire,1.0
Pidgeot (Shadow),water,1.0
Pidgeot (Shadow),grass,0.625
Pidgeot (Shadow),electric,1.6
Pidgeot (Shadow),psychic,1.0
Pidgeot (Shadow),ice,1.6
Pidgeot (Shadow),dragon,1.0
Pidgeot (Shadow),dark,1.0
Pidgeot (Shadow),fairy,1.0
Rattata,normal,1.0
Rattata,fighting,1.6
Rattata,flying,1.0
Rattata,poison,1.0
Rattata,ground,1.0
Rattata,rock,1.0
Rattata,bug,1.0
Rattata,ghost,0.391
Rattata,steel,1.0
Rattata,fire,1.0
Rattata,water,1.0
Rattata,grass,1.0
Rattata,electric,1.0
Rattata,psychic,1.0
Rattata,ice,1.0
Rattata,dragon,1.0
Rattata,dark,1.0
Rattata,fairy,1.0
Rattata (Alolan),normal,1.0
Rattata (Alolan),fighting,2.56
Rattata (Alolan),flying,1.0
Rattata (Alolan),poison,1.0
Rattata (Alolan),ground,1.0
Rattata (Alolan),rock,1.0
Rattata (Alolan),bug,1.6
Rattata (Alolan),ghost,0.244
Rattata (Alolan),steel,1.0
Rattata (Alolan),fire,1.0
Rattata (Alolan),water,1.0
Rattata (Alolan),grass,1.0
Rattata (Alolan),electric,1.0
Rattata (Alolan),psychic,0.391
Rattata (Alolan),ice,1.0
Rattata (Alolan),dragon,1.0
Rattata (Alolan),dark,0.625
Rattata (Alolan),fairy,1.6
Rattata (Alolan) (Shadow),normal,1.0
Rattata (Alolan) (Shadow),fighting,2.56
Rattata (Alolan) (Shadow),flying,1.0
Rattata (Alolan) (Shadow),poison,1.0
Rattata (Alolan) (Shadow),ground,1.0
Rattata (Alolan) (Shadow),rock,1.0
Rattata (Alolan) (Shadow),bug,1.6
Rattata (Alolan) (Shadow),ghost,0.244
Rattata (Alolan) (Shadow),steel,1.0
Rattata (Alolan) (Shadow),fire,1.0
Rattata (Alolan) (Shadow),water,1.0
Rattata (Alolan) (Shadow),grass,1.0
Rattata (Alolan) (Shadow),electric,1.0
Rattata (Alolan) (Shadow),psychic,0.391
Rattata (Alolan) (Shadow),ice,1.0
Rattata (Alolan) (Shadow),dragon,1.0
Rattata (Alolan) (Shadow),dark,0.625
Rattata (Alolan) (Shadow),fairy,1.6
Rattata (Shadow),normal,1.0
Rattata (Shadow),fighting,1.6
Rattata (Shadow),flying,1.0
Rattata (Shadow),poison,1.0
Rattata (Shadow),ground,1.0
Rattata (Shadow),rock,1.0
Rattata (Shadow),bug,1.0
Rattata (Shadow),ghost,0.391
Rattata (Shadow),steel,1.0
Rattata (Shadow),fire,1.0
Rattata (Shadow),water,1.0
Rattata (Shadow),grass,1.0
Rattata (Shadow),electric,1.0
Rattata (Shadow),psychic,1.0
Rattata (Shadow),ice,1.0
Rattata (Shadow),dragon,1.0
Rattata (Shadow),dark,1.0
Rattata (Shadow),fairy,1.0
Raticate,normal,1.0
Raticate,fighting,1.6
Raticate,flying,1.0
Raticate,poison,1.0
Raticate,ground,1.0
Raticate,rock,1.0
Raticate,bug,1.0
Raticate,ghost,0.391
Raticate,steel,1.0
Raticate,fire,1.0
Raticate,water,1.0
Raticate,grass,1.0
Raticate,electric,1.0
Raticate,psychic,1.0
Raticate,ice,1.0
Raticate,dragon,1.0
Raticate,dark,1.0
Raticate,fairy,1.0
Raticate (Alolan),normal,1.0
Raticate (Alolan),fighting,2.56
Raticate (Alolan),flying,1.0
Raticate (Alolan),poison,1.0
Raticate (Alolan),ground,1.0
Raticate (Alolan),rock,1.0
Raticate (Alolan),bug,1.6
Raticate (Alolan),ghost,0.244
Raticate (Alolan),steel,1.0
Raticate (Alolan),fire,1.0
Raticate (Alolan),water,1.0
Raticate (Alolan),grass,1.0
Raticate (Alolan),electric,1.0
Raticate (Alolan),psychic,0.391
Raticate (Alolan),ice,1.0
Raticate (Alolan),dragon,1.0
Raticate (Alolan),dark,0.625
